[synthetic_bench] quartic n=38 d=2 classes=8340618 merges=38 ...
[pe] round=  0 work=       76 frontier= 16681088 next=  4170272 consolidate=  2.051ms frontier=  3.955ms semisort=690.559ms (keyed=19.551ms group_by=317.055ms per_group=154.372ms)
[pe] round=  1 work=  4170272 frontier=  4170272 next=  2073120 consolidate=285.427ms frontier= 54.675ms semisort=337.483ms (keyed=56.605ms group_by= 90.252ms per_group=61.952ms)
[pe] round=  2 work=  2073120 frontier=  2073120 next=  1048576 consolidate=161.661ms frontier= 32.466ms semisort= 96.016ms (keyed= 1.129ms group_by= 24.678ms per_group=19.904ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 74.185ms frontier= 18.887ms semisort= 47.672ms (keyed= 0.588ms group_by=  9.854ms per_group=11.413ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 38.012ms frontier= 10.066ms semisort= 24.639ms (keyed= 0.338ms group_by=  4.637ms per_group= 6.137ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 20.018ms frontier=  4.845ms semisort= 13.150ms (keyed= 0.160ms group_by=  2.752ms per_group= 3.435ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 11.210ms frontier=  2.715ms semisort=  7.686ms (keyed= 0.102ms group_by=  1.571ms per_group= 1.820ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  5.652ms frontier=  1.125ms semisort=  3.593ms (keyed= 0.043ms group_by=  0.915ms per_group= 0.860ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  2.816ms frontier=  0.626ms semisort=  1.981ms (keyed= 0.056ms group_by=  0.501ms per_group= 0.420ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.962ms frontier=  0.222ms semisort=  0.712ms (keyed= 0.016ms group_by=  0.178ms per_group= 0.142ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.702ms frontier=  0.137ms semisort=  0.461ms (keyed= 0.013ms group_by=  0.230ms per_group= 0.078ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.327ms frontier=  0.073ms semisort=  0.255ms (keyed= 0.007ms group_by=  0.122ms per_group= 0.046ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.164ms frontier=  0.048ms semisort=  0.126ms (keyed= 0.004ms group_by=  0.052ms per_group= 0.024ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.083ms frontier=  0.029ms semisort=  0.070ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.020ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.045ms frontier=  0.013ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.009ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.026ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.021ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
