[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate= 23.154ms frontier= 46.605ms semisort=3255.104ms (keyed=138.283ms group_by=1053.350ms per_group=923.422ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate=1607.502ms frontier=309.248ms semisort=1442.250ms (keyed=37.330ms group_by=289.583ms per_group=245.492ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate=639.025ms frontier=120.801ms semisort=479.704ms (keyed= 3.851ms group_by= 85.723ms per_group=114.260ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate=379.663ms frontier= 82.930ms semisort=280.848ms (keyed= 3.691ms group_by= 50.784ms per_group=83.085ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=277.842ms frontier= 69.351ms semisort=177.134ms (keyed= 1.914ms group_by= 33.069ms per_group=44.889ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=136.807ms frontier= 30.758ms semisort= 90.601ms (keyed= 1.045ms group_by= 16.203ms per_group=24.071ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 70.580ms frontier= 15.038ms semisort= 45.436ms (keyed= 0.493ms group_by=  7.620ms per_group=12.396ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 35.710ms frontier=  7.492ms semisort= 24.192ms (keyed= 0.246ms group_by=  3.759ms per_group= 6.430ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 18.274ms frontier=  3.502ms semisort= 11.328ms (keyed= 0.127ms group_by=  2.015ms per_group= 3.084ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  8.977ms frontier=  1.357ms semisort=  4.768ms (keyed= 0.061ms group_by=  1.050ms per_group= 1.047ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.136ms frontier=  0.591ms semisort=  1.992ms (keyed= 0.033ms group_by=  0.529ms per_group= 0.468ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.023ms frontier=  0.199ms semisort=  0.845ms (keyed= 0.016ms group_by=  0.249ms per_group= 0.231ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.036ms frontier=  0.109ms semisort=  0.398ms (keyed= 0.007ms group_by=  0.111ms per_group= 0.121ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.490ms frontier=  0.049ms semisort=  0.182ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.057ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.249ms frontier=  0.023ms semisort=  0.087ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.128ms frontier=  0.013ms semisort=  0.042ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.015ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.067ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.035ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.019ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.013ms frontier=  0.002ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.009ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
