[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  9.027ms frontier= 31.627ms semisort=1835.548ms (keyed=157.389ms group_by=764.241ms per_group=375.001ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate=738.052ms frontier=145.872ms semisort=799.512ms (keyed=41.406ms group_by=257.435ms per_group=123.897ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate=350.753ms frontier= 63.387ms semisort=275.860ms (keyed= 3.801ms group_by= 62.679ms per_group=61.909ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate=201.915ms frontier= 46.268ms semisort=159.601ms (keyed= 3.883ms group_by= 25.407ms per_group=46.641ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=145.520ms frontier= 33.515ms semisort= 93.638ms (keyed= 1.503ms group_by= 16.433ms per_group=23.723ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 72.526ms frontier= 16.918ms semisort= 49.067ms (keyed= 0.588ms group_by=  8.729ms per_group=12.367ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 36.273ms frontier=  8.624ms semisort= 25.529ms (keyed= 0.265ms group_by=  3.919ms per_group= 6.674ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 18.939ms frontier=  4.288ms semisort= 16.357ms (keyed= 0.129ms group_by=  2.249ms per_group= 3.738ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  9.615ms frontier=  1.995ms semisort=  6.326ms (keyed= 0.091ms group_by=  1.148ms per_group= 1.593ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  4.767ms frontier=  0.915ms semisort=  2.612ms (keyed= 0.042ms group_by=  0.610ms per_group= 0.575ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.298ms frontier=  0.339ms semisort=  1.091ms (keyed= 0.021ms group_by=  0.279ms per_group= 0.254ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.089ms frontier=  0.145ms semisort=  0.618ms (keyed= 0.011ms group_by=  0.250ms per_group= 0.126ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.499ms frontier=  0.081ms semisort=  0.307ms (keyed= 0.007ms group_by=  0.128ms per_group= 0.065ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.253ms frontier=  0.042ms semisort=  0.147ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.039ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.135ms frontier=  0.028ms semisort=  0.092ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.023ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.074ms frontier=  0.015ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.012ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.037ms frontier=  0.008ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.022ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.015ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.010ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
