[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  2.724ms frontier=  5.304ms semisort=1525.862ms (keyed=222.125ms group_by=817.584ms per_group=194.163ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate=430.862ms frontier= 81.050ms semisort=610.461ms (keyed=35.049ms group_by=205.473ms per_group=82.876ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate=208.132ms frontier= 42.123ms semisort=167.032ms (keyed= 1.722ms group_by= 38.301ms per_group=40.737ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate=117.643ms frontier= 40.035ms semisort=100.295ms (keyed= 3.339ms group_by= 21.030ms per_group=30.882ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 85.718ms frontier= 21.479ms semisort= 55.870ms (keyed= 0.660ms group_by= 11.108ms per_group=14.659ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 40.779ms frontier= 10.480ms semisort= 29.309ms (keyed= 0.317ms group_by=  6.522ms per_group= 7.308ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 22.529ms frontier=  5.454ms semisort= 14.360ms (keyed= 0.168ms group_by=  2.457ms per_group= 4.145ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 10.829ms frontier=  2.255ms semisort=  7.678ms (keyed= 0.086ms group_by=  1.550ms per_group= 1.875ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.241ms frontier=  1.140ms semisort=  3.627ms (keyed= 0.048ms group_by=  0.854ms per_group= 0.901ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.622ms frontier=  0.579ms semisort=  1.504ms (keyed= 0.028ms group_by=  0.345ms per_group= 0.397ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.621ms frontier=  0.208ms semisort=  0.683ms (keyed= 0.015ms group_by=  0.174ms per_group= 0.161ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.721ms frontier=  0.133ms semisort=  0.583ms (keyed= 0.009ms group_by=  0.309ms per_group= 0.088ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.341ms frontier=  0.075ms semisort=  0.258ms (keyed= 0.006ms group_by=  0.121ms per_group= 0.039ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.179ms frontier=  0.042ms semisort=  0.143ms (keyed= 0.005ms group_by=  0.063ms per_group= 0.024ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.106ms frontier=  0.035ms semisort=  0.066ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.013ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.016ms semisort=  0.058ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.016ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.033ms frontier=  0.011ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.009ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.025ms frontier=  0.005ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.017ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.012ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
