[synthetic_bench] quartic n=41 d=2 classes=11303124 merges=41 ...
[pe] round=  0 work=       82 frontier= 22606088 next=  5651522 consolidate=  2.892ms frontier=  7.337ms semisort=1235.175ms (keyed=195.678ms group_by=716.024ms per_group=126.898ms)
[pe] round=  1 work=  5651522 frontier=  5651522 next=  2097152 consolidate=274.141ms frontier= 53.248ms semisort=346.110ms (keyed=20.782ms group_by=124.037ms per_group=50.239ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1457218 consolidate=134.462ms frontier= 27.785ms semisort=119.993ms (keyed= 6.724ms group_by= 34.511ms per_group=24.625ms)
[pe] round=  3 work=  1457218 frontier=  1457218 next=  1048576 consolidate= 73.446ms frontier= 26.969ms semisort= 58.800ms (keyed= 0.763ms group_by=  9.475ms per_group=18.202ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 56.534ms frontier= 16.858ms semisort= 40.601ms (keyed= 0.717ms group_by=  8.418ms per_group= 9.127ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 30.337ms frontier=  8.041ms semisort= 18.856ms (keyed= 0.201ms group_by=  4.045ms per_group= 4.804ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.013ms frontier=  4.104ms semisort= 10.531ms (keyed= 0.123ms group_by=  2.051ms per_group= 2.760ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.992ms frontier=  1.966ms semisort=  5.610ms (keyed= 0.070ms group_by=  1.520ms per_group= 1.263ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.557ms frontier=  0.801ms semisort=  2.755ms (keyed= 0.031ms group_by=  0.774ms per_group= 0.599ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.855ms frontier=  0.491ms semisort=  1.309ms (keyed= 0.023ms group_by=  0.343ms per_group= 0.295ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.484ms frontier=  0.247ms semisort=  0.593ms (keyed= 0.029ms group_by=  0.161ms per_group= 0.126ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.680ms frontier=  0.152ms semisort=  0.569ms (keyed= 0.009ms group_by=  0.290ms per_group= 0.066ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.279ms frontier=  0.104ms semisort=  0.245ms (keyed= 0.008ms group_by=  0.122ms per_group= 0.036ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.170ms frontier=  0.041ms semisort=  0.147ms (keyed= 0.004ms group_by=  0.056ms per_group= 0.021ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.078ms frontier=  0.024ms semisort=  0.084ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.012ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.041ms frontier=  0.017ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.011ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.052ms frontier=  0.008ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
