[synthetic_bench] quartic n=44 d=2 classes=14992470 merges=44 ...
[pe] round=  0 work=       88 frontier= 29984768 next=  7496192 consolidate= 19.629ms frontier= 66.111ms semisort=4603.485ms (keyed=258.996ms group_by=1459.629ms per_group=1243.671ms)
[pe] round=  1 work=  7496192 frontier=  7496192 next=  3301888 consolidate=2273.747ms frontier=411.598ms semisort=1735.008ms (keyed=48.137ms group_by=296.775ms per_group=345.608ms)
[pe] round=  2 work=  3301888 frontier=  3301888 next=  2097152 consolidate=1024.730ms frontier=181.495ms semisort=802.245ms (keyed=100.222ms group_by=138.106ms per_group=187.966ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=630.571ms frontier=116.989ms semisort=602.549ms (keyed= 4.065ms group_by= 94.489ms per_group=174.576ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=384.660ms frontier= 62.540ms semisort=200.566ms (keyed= 2.174ms group_by= 38.710ms per_group=54.185ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=165.389ms frontier= 31.725ms semisort= 99.999ms (keyed= 1.279ms group_by= 17.330ms per_group=25.796ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 78.071ms frontier= 15.989ms semisort= 49.862ms (keyed= 0.524ms group_by=  8.423ms per_group=13.631ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 39.581ms frontier=  8.257ms semisort= 26.983ms (keyed= 0.245ms group_by=  3.789ms per_group= 6.665ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 19.220ms frontier=  3.377ms semisort= 11.517ms (keyed= 0.124ms group_by=  2.100ms per_group= 2.715ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  9.621ms frontier=  1.196ms semisort=  4.586ms (keyed= 0.061ms group_by=  1.012ms per_group= 0.974ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.561ms frontier=  0.544ms semisort=  1.869ms (keyed= 0.033ms group_by=  0.446ms per_group= 0.474ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.138ms frontier=  0.237ms semisort=  0.836ms (keyed= 0.016ms group_by=  0.208ms per_group= 0.227ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.025ms frontier=  0.123ms semisort=  0.406ms (keyed= 0.008ms group_by=  0.105ms per_group= 0.113ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.496ms frontier=  0.063ms semisort=  0.193ms (keyed= 0.004ms group_by=  0.051ms per_group= 0.056ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.245ms frontier=  0.022ms semisort=  0.090ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.028ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.122ms frontier=  0.013ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.015ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.061ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.035ms frontier=  0.003ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.019ms frontier=  0.003ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.010ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.014ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.007ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
