[synthetic_bench] quartic n=44 d=2 classes=14992470 merges=44 ...
[pe] round=  0 work=       88 frontier= 29984768 next=  7496192 consolidate=  4.605ms frontier= 20.180ms semisort=1404.095ms (keyed=200.659ms group_by=746.271ms per_group=176.100ms)
[pe] round=  1 work=  7496192 frontier=  7496192 next=  3301888 consolidate=392.018ms frontier= 75.360ms semisort=623.175ms (keyed=50.665ms group_by=177.207ms per_group=88.885ms)
[pe] round=  2 work=  3301888 frontier=  3301888 next=  2097152 consolidate=254.834ms frontier= 42.382ms semisort=159.925ms (keyed= 3.292ms group_by= 40.114ms per_group=42.705ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=119.357ms frontier= 28.433ms semisort= 76.333ms (keyed= 0.913ms group_by= 15.927ms per_group=18.695ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 63.060ms frontier= 16.018ms semisort= 50.668ms (keyed= 0.462ms group_by= 14.466ms per_group=10.890ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 33.178ms frontier=  9.418ms semisort= 22.911ms (keyed= 0.228ms group_by=  5.506ms per_group= 5.556ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 16.922ms frontier=  4.144ms semisort= 11.896ms (keyed= 0.128ms group_by=  2.326ms per_group= 2.703ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  8.787ms frontier=  2.447ms semisort=  7.841ms (keyed= 0.076ms group_by=  2.753ms per_group= 1.650ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.672ms frontier=  1.144ms semisort=  3.327ms (keyed= 0.062ms group_by=  0.807ms per_group= 0.576ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.980ms frontier=  0.588ms semisort=  2.132ms (keyed= 0.043ms group_by=  0.682ms per_group= 0.526ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.726ms frontier=  0.227ms semisort=  0.697ms (keyed= 0.012ms group_by=  0.207ms per_group= 0.158ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.603ms frontier=  0.226ms semisort=  0.534ms (keyed= 0.012ms group_by=  0.272ms per_group= 0.102ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.296ms frontier=  0.127ms semisort=  0.275ms (keyed= 0.006ms group_by=  0.131ms per_group= 0.046ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.148ms frontier=  0.077ms semisort=  0.163ms (keyed= 0.004ms group_by=  0.053ms per_group= 0.029ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.105ms frontier=  0.025ms semisort=  0.120ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.036ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.043ms frontier=  0.015ms semisort=  0.121ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.047ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.043ms frontier=  0.008ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.049ms frontier=  0.005ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.022ms frontier=  0.003ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
