[synthetic_bench] quartic n=47 d=2 classes=19518816 merges=47 ...
[pe] round=  0 work=       94 frontier= 39037448 next=  9759362 consolidate= 30.540ms frontier= 53.952ms semisort=2525.731ms (keyed=388.697ms group_by=1279.055ms per_group=343.594ms)
[pe] round=  1 work=  9759362 frontier=  9759362 next=  4194304 consolidate=564.559ms frontier=102.163ms semisort=907.457ms (keyed=41.109ms group_by=336.226ms per_group=219.624ms)
[pe] round=  2 work=  4194304 frontier=  4194304 next=  2097152 consolidate=351.988ms frontier= 62.643ms semisort=244.546ms (keyed= 2.197ms group_by= 85.360ms per_group=47.449ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1370754 consolidate=139.579ms frontier= 34.672ms semisort=128.869ms (keyed= 0.989ms group_by= 32.838ms per_group=32.724ms)
[pe] round=  4 work=  1370754 frontier=  1370754 next=  1048576 consolidate= 90.910ms frontier= 23.187ms semisort= 65.559ms (keyed= 0.725ms group_by= 10.396ms per_group=21.833ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 70.535ms frontier= 18.435ms semisort= 46.223ms (keyed= 0.450ms group_by=  9.307ms per_group=12.416ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 35.473ms frontier=  9.316ms semisort= 23.752ms (keyed= 0.252ms group_by=  5.156ms per_group= 6.378ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 18.669ms frontier=  5.046ms semisort= 12.204ms (keyed= 0.157ms group_by=  2.665ms per_group= 3.156ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate=  8.808ms frontier=  2.373ms semisort=  6.002ms (keyed= 0.059ms group_by=  1.454ms per_group= 1.478ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  4.749ms frontier=  0.863ms semisort=  3.121ms (keyed= 0.035ms group_by=  0.732ms per_group= 0.806ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.451ms frontier=  0.392ms semisort=  1.605ms (keyed= 0.021ms group_by=  0.386ms per_group= 0.365ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.747ms frontier=  0.304ms semisort=  0.944ms (keyed= 0.012ms group_by=  0.229ms per_group= 0.208ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.970ms frontier=  0.228ms semisort=  1.086ms (keyed= 0.035ms group_by=  0.511ms per_group= 0.174ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.448ms frontier=  0.219ms semisort=  0.290ms (keyed= 0.006ms group_by=  0.121ms per_group= 0.048ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.143ms frontier=  0.100ms semisort=  0.151ms (keyed= 0.004ms group_by=  0.055ms per_group= 0.037ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.163ms frontier=  0.081ms semisort=  0.121ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.042ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.081ms frontier=  0.014ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.009ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.091ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.016ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
