[synthetic_bench] quartic n=50 d=2 classes=25000098 merges=50 ...
[pe] round=  0 work=      100 frontier= 50000000 next= 12500000 consolidate=  6.029ms frontier= 11.184ms semisort=3009.567ms (keyed=557.700ms group_by=1462.075ms per_group=403.931ms)
[pe] round=  1 work= 12500000 frontier= 12500000 next=  4194304 consolidate=739.726ms frontier=116.803ms semisort=850.231ms (keyed=92.619ms group_by=256.599ms per_group=119.529ms)
[pe] round=  2 work=  4194304 frontier=  4194304 next=  4111392 consolidate=326.568ms frontier= 55.888ms semisort=280.944ms (keyed= 3.234ms group_by= 83.395ms per_group=71.477ms)
[pe] round=  3 work=  4111392 frontier=  4111392 next=  2097152 consolidate=256.910ms frontier= 58.900ms semisort=179.145ms (keyed= 3.541ms group_by= 41.444ms per_group=42.876ms)
[pe] round=  4 work=  2097152 frontier=  2097152 next=  1048576 consolidate=147.782ms frontier= 34.024ms semisort=117.432ms (keyed= 1.702ms group_by= 18.024ms per_group=21.636ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 73.981ms frontier= 18.524ms semisort= 45.079ms (keyed= 0.471ms group_by= 11.877ms per_group=10.893ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 34.823ms frontier=  8.711ms semisort= 21.567ms (keyed= 0.201ms group_by=  4.104ms per_group= 5.691ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 17.017ms frontier=  4.165ms semisort= 11.941ms (keyed= 0.112ms group_by=  2.368ms per_group= 3.105ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate=  8.749ms frontier=  1.857ms semisort=  5.833ms (keyed= 0.056ms group_by=  1.603ms per_group= 1.516ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  4.027ms frontier=  0.684ms semisort=  3.310ms (keyed= 0.042ms group_by=  1.123ms per_group= 0.728ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.194ms frontier=  0.581ms semisort=  1.645ms (keyed= 0.019ms group_by=  0.504ms per_group= 0.308ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.675ms frontier=  0.273ms semisort=  0.725ms (keyed= 0.027ms group_by=  0.272ms per_group= 0.157ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.865ms frontier=  0.183ms semisort=  0.650ms (keyed= 0.009ms group_by=  0.311ms per_group= 0.100ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.270ms frontier=  0.120ms semisort=  0.305ms (keyed= 0.006ms group_by=  0.113ms per_group= 0.083ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.128ms frontier=  0.047ms semisort=  0.121ms (keyed= 0.004ms group_by=  0.056ms per_group= 0.023ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.100ms frontier=  0.026ms semisort=  0.067ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.014ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.044ms frontier=  0.015ms semisort=  0.050ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.007ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.012ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.006ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
