[synthetic_bench] quartic n=53 d=2 classes=31562028 merges=53 ...
[pe] round=  0 work=      106 frontier= 63123848 next= 15780962 consolidate=  7.851ms frontier= 25.782ms semisort=4137.554ms (keyed=554.391ms group_by=2164.488ms per_group=573.708ms)
[pe] round=  1 work= 15780962 frontier= 15780962 next=  7392354 consolidate=961.960ms frontier=157.628ms semisort=1191.231ms (keyed=66.882ms group_by=277.460ms per_group=242.900ms)
[pe] round=  2 work=  7392354 frontier=  7392354 next=  4194304 consolidate=555.942ms frontier= 91.209ms semisort=511.101ms (keyed=33.143ms group_by=102.118ms per_group=84.257ms)
[pe] round=  3 work=  4194304 frontier=  4194304 next=  2097152 consolidate=274.535ms frontier= 76.097ms semisort=171.347ms (keyed= 1.715ms group_by= 36.632ms per_group=42.050ms)
[pe] round=  4 work=  2097152 frontier=  2097152 next=  1048576 consolidate=248.472ms frontier= 37.126ms semisort=160.950ms (keyed= 1.332ms group_by= 51.658ms per_group=22.846ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 71.236ms frontier= 19.153ms semisort= 45.002ms (keyed= 0.566ms group_by=  9.283ms per_group=11.843ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 33.504ms frontier=  9.286ms semisort= 24.643ms (keyed= 0.324ms group_by=  5.269ms per_group= 6.293ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 19.510ms frontier=  5.175ms semisort= 13.140ms (keyed= 0.157ms group_by=  3.024ms per_group= 3.215ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate= 10.088ms frontier=  1.898ms semisort=  7.683ms (keyed= 0.184ms group_by=  1.746ms per_group= 1.628ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  4.217ms frontier=  1.015ms semisort=  3.352ms (keyed= 0.041ms group_by=  0.966ms per_group= 0.735ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.349ms frontier=  0.474ms semisort=  1.675ms (keyed= 0.055ms group_by=  0.470ms per_group= 0.350ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  2.000ms frontier=  0.291ms semisort=  0.744ms (keyed= 0.029ms group_by=  0.171ms per_group= 0.149ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.634ms frontier=  0.192ms semisort=  0.610ms (keyed= 0.026ms group_by=  0.296ms per_group= 0.111ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.374ms frontier=  0.091ms semisort=  0.274ms (keyed= 0.007ms group_by=  0.111ms per_group= 0.037ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.173ms frontier=  0.035ms semisort=  0.120ms (keyed= 0.003ms group_by=  0.055ms per_group= 0.023ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.075ms frontier=  0.038ms semisort=  0.068ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.018ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.096ms frontier=  0.015ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.024ms frontier=  0.009ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.017ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.017ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.012ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
