[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  5.946ms frontier= 16.275ms semisort=1917.767ms (keyed=77.620ms group_by=520.841ms per_group=511.325ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate=966.631ms frontier=204.320ms semisort=763.703ms (keyed= 9.767ms group_by=116.589ms per_group=157.816ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate=450.788ms frontier= 98.321ms semisort=341.940ms (keyed= 3.367ms group_by= 54.807ms per_group=85.971ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=275.704ms frontier= 59.951ms semisort=182.644ms (keyed= 2.072ms group_by= 32.807ms per_group=47.164ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate=140.720ms frontier= 32.260ms semisort= 94.206ms (keyed= 1.065ms group_by= 15.863ms per_group=24.211ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 73.154ms frontier= 15.193ms semisort= 47.150ms (keyed= 0.515ms group_by=  8.105ms per_group=12.410ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 36.484ms frontier=  7.696ms semisort= 23.071ms (keyed= 0.280ms group_by=  3.949ms per_group= 5.966ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate= 18.029ms frontier=  3.598ms semisort= 11.641ms (keyed= 0.132ms group_by=  2.045ms per_group= 2.922ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  9.227ms frontier=  1.337ms semisort=  5.252ms (keyed= 0.070ms group_by=  0.996ms per_group= 1.326ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  4.323ms frontier=  0.550ms semisort=  2.132ms (keyed= 0.033ms group_by=  0.509ms per_group= 0.471ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  2.174ms frontier=  0.197ms semisort=  0.823ms (keyed= 0.016ms group_by=  0.217ms per_group= 0.225ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  1.101ms frontier=  0.099ms semisort=  0.400ms (keyed= 0.008ms group_by=  0.113ms per_group= 0.113ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.492ms frontier=  0.046ms semisort=  0.180ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.056ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.236ms frontier=  0.024ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.028ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.123ms frontier=  0.011ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.014ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.064ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.035ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
