[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  4.177ms frontier=  9.764ms semisort=966.824ms (keyed=38.924ms group_by=265.615ms per_group=256.918ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate=474.217ms frontier= 98.500ms semisort=365.462ms (keyed= 4.970ms group_by= 58.298ms per_group=76.085ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate=232.313ms frontier= 51.622ms semisort=167.472ms (keyed= 1.688ms group_by= 28.032ms per_group=41.081ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate=145.039ms frontier= 33.114ms semisort= 92.693ms (keyed= 1.067ms group_by= 17.205ms per_group=22.292ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 73.604ms frontier= 17.694ms semisort= 45.917ms (keyed= 0.558ms group_by=  8.157ms per_group=11.636ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 36.511ms frontier=  8.113ms semisort= 23.434ms (keyed= 0.305ms group_by=  4.087ms per_group= 5.841ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 18.264ms frontier=  3.943ms semisort= 12.739ms (keyed= 0.155ms group_by=  2.343ms per_group= 3.272ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  9.522ms frontier=  2.379ms semisort=  6.157ms (keyed= 0.072ms group_by=  1.188ms per_group= 1.623ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  5.080ms frontier=  0.791ms semisort=  2.836ms (keyed= 0.043ms group_by=  0.571ms per_group= 0.705ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  2.798ms frontier=  0.406ms semisort=  1.233ms (keyed= 0.021ms group_by=  0.295ms per_group= 0.246ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.065ms frontier=  0.158ms semisort=  0.580ms (keyed= 0.011ms group_by=  0.230ms per_group= 0.131ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.528ms frontier=  0.092ms semisort=  0.302ms (keyed= 0.006ms group_by=  0.106ms per_group= 0.062ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.271ms frontier=  0.046ms semisort=  0.153ms (keyed= 0.004ms group_by=  0.056ms per_group= 0.034ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.130ms frontier=  0.023ms semisort=  0.084ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.021ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.092ms frontier=  0.013ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.016ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.037ms frontier=  0.014ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.020ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.019ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
