[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  2.359ms frontier=  7.004ms semisort=543.218ms (keyed=24.498ms group_by=151.790ms per_group=145.917ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate=258.066ms frontier= 52.414ms semisort=189.643ms (keyed= 3.926ms group_by= 33.406ms per_group=37.436ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate=127.458ms frontier= 29.323ms semisort= 87.044ms (keyed= 0.936ms group_by= 14.894ms per_group=21.876ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 78.635ms frontier= 20.288ms semisort= 48.502ms (keyed= 0.607ms group_by=  9.648ms per_group=11.587ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 40.883ms frontier= 10.779ms semisort= 25.523ms (keyed= 0.321ms group_by=  4.899ms per_group= 6.170ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 21.436ms frontier=  5.167ms semisort= 14.014ms (keyed= 0.170ms group_by=  2.618ms per_group= 3.686ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate= 11.059ms frontier=  2.505ms semisort=  7.277ms (keyed= 0.088ms group_by=  1.420ms per_group= 1.752ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  5.419ms frontier=  1.028ms semisort=  3.887ms (keyed= 0.057ms group_by=  0.933ms per_group= 1.012ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  2.751ms frontier=  0.388ms semisort=  1.599ms (keyed= 0.034ms group_by=  0.376ms per_group= 0.409ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.616ms frontier=  0.226ms semisort=  0.828ms (keyed= 0.020ms group_by=  0.204ms per_group= 0.173ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.808ms frontier=  0.156ms semisort=  0.576ms (keyed= 0.012ms group_by=  0.297ms per_group= 0.083ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.340ms frontier=  0.073ms semisort=  0.264ms (keyed= 0.013ms group_by=  0.126ms per_group= 0.046ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.159ms frontier=  0.052ms semisort=  0.144ms (keyed= 0.004ms group_by=  0.063ms per_group= 0.023ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.098ms frontier=  0.030ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.017ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.048ms frontier=  0.014ms semisort=  0.049ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.016ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.032ms frontier=  0.008ms semisort=  0.028ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.018ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.013ms frontier=  0.004ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
