[synthetic_bench] quintic n=18 d=2 classes=7558306 merges=18 ...
[pe] round=  0 work=       36 frontier= 18895680 next=  3779136 consolidate=  3.421ms frontier=  8.842ms semisort=355.354ms (keyed=21.690ms group_by=113.904ms per_group=79.744ms)
[pe] round=  1 work=  3779136 frontier=  3779136 next=  1681984 consolidate=160.551ms frontier= 37.270ms semisort=130.962ms (keyed= 3.743ms group_by= 26.377ms per_group=24.027ms)
[pe] round=  2 work=  1681984 frontier=  1681984 next=  1048576 consolidate= 82.353ms frontier= 20.769ms semisort= 62.331ms (keyed= 0.922ms group_by= 11.347ms per_group=15.912ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 51.535ms frontier= 14.289ms semisort= 34.926ms (keyed= 0.485ms group_by=  7.718ms per_group= 8.320ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 27.576ms frontier=  7.941ms semisort= 18.996ms (keyed= 0.218ms group_by=  3.996ms per_group= 4.524ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 14.792ms frontier=  4.103ms semisort=  9.850ms (keyed= 0.102ms group_by=  2.071ms per_group= 2.488ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  7.587ms frontier=  1.798ms semisort=  5.283ms (keyed= 0.056ms group_by=  1.469ms per_group= 1.271ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  3.675ms frontier=  0.764ms semisort=  2.940ms (keyed= 0.032ms group_by=  0.794ms per_group= 0.683ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  2.132ms frontier=  0.386ms semisort=  1.310ms (keyed= 0.061ms group_by=  0.334ms per_group= 0.271ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.538ms frontier=  0.234ms semisort=  0.642ms (keyed= 0.014ms group_by=  0.189ms per_group= 0.166ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.642ms frontier=  0.198ms semisort=  0.515ms (keyed= 0.011ms group_by=  0.255ms per_group= 0.068ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.264ms frontier=  0.118ms semisort=  0.295ms (keyed= 0.007ms group_by=  0.130ms per_group= 0.038ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.154ms frontier=  0.037ms semisort=  0.121ms (keyed= 0.004ms group_by=  0.056ms per_group= 0.021ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.090ms frontier=  0.024ms semisort=  0.115ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.061ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.040ms frontier=  0.014ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.010ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.082ms frontier=  0.008ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.048ms frontier=  0.027ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.002ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
