[synthetic_bench] quintic n=19 d=2 classes=9904432 merges=19 ...
[pe] round=  0 work=       38 frontier= 24760990 next=  4952198 consolidate=  7.739ms frontier= 16.166ms semisort=2615.781ms (keyed=86.636ms group_by=759.125ms per_group=711.284ms)
[pe] round=  1 work=  4952198 frontier=  4952198 next=  2097152 consolidate=1278.989ms frontier=256.347ms semisort=1012.802ms (keyed=16.760ms group_by=159.069ms per_group=205.825ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=555.515ms frontier=121.786ms semisort=432.895ms (keyed= 3.957ms group_by= 85.030ms per_group=100.252ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   757894 consolidate=279.095ms frontier= 59.849ms semisort=211.572ms (keyed= 2.033ms group_by= 37.674ms per_group=60.395ms)
[pe] round=  4 work=   757894 frontier=   757894 next=   524288 consolidate=202.970ms frontier= 44.645ms semisort=149.700ms (keyed= 1.515ms group_by= 24.738ms per_group=43.089ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=138.623ms frontier= 30.380ms semisort= 93.391ms (keyed= 1.008ms group_by= 15.781ms per_group=24.525ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 70.241ms frontier= 15.984ms semisort= 62.704ms (keyed= 0.572ms group_by= 10.041ms per_group=24.232ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 37.191ms frontier=  7.922ms semisort= 24.206ms (keyed= 0.251ms group_by=  3.733ms per_group= 6.742ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 17.239ms frontier=  3.478ms semisort= 12.143ms (keyed= 0.131ms group_by=  2.092ms per_group= 3.159ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  8.685ms frontier=  1.413ms semisort=  4.465ms (keyed= 0.068ms group_by=  1.042ms per_group= 0.963ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.056ms frontier=  0.579ms semisort=  1.899ms (keyed= 0.034ms group_by=  0.484ms per_group= 0.462ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.045ms frontier=  0.205ms semisort=  0.818ms (keyed= 0.016ms group_by=  0.205ms per_group= 0.243ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.016ms frontier=  0.103ms semisort=  0.382ms (keyed= 0.008ms group_by=  0.108ms per_group= 0.114ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.491ms frontier=  0.048ms semisort=  0.180ms (keyed= 0.004ms group_by=  0.054ms per_group= 0.057ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.247ms frontier=  0.023ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.125ms frontier=  0.012ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.015ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.062ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.036ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
