[synthetic_bench] quintic n=19 d=2 classes=9904432 merges=19 ...
[pe] round=  0 work=       38 frontier= 24760990 next=  4952198 consolidate=  5.154ms frontier= 10.395ms semisort=1388.915ms (keyed=52.327ms group_by=423.860ms per_group=345.926ms)
[pe] round=  1 work=  4952198 frontier=  4952198 next=  2097152 consolidate=636.151ms frontier=129.237ms semisort=534.841ms (keyed= 9.747ms group_by= 83.250ms per_group=110.024ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=287.515ms frontier= 64.053ms semisort=222.781ms (keyed= 2.080ms group_by= 41.422ms per_group=50.026ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   757894 consolidate=145.587ms frontier= 32.529ms semisort=113.994ms (keyed= 1.103ms group_by= 19.735ms per_group=32.297ms)
[pe] round=  4 work=   757894 frontier=   757894 next=   524288 consolidate=106.783ms frontier= 24.734ms semisort= 76.905ms (keyed= 0.794ms group_by= 12.016ms per_group=21.923ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 76.487ms frontier= 17.018ms semisort= 47.161ms (keyed= 0.565ms group_by=  8.357ms per_group=13.041ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 39.859ms frontier=  9.252ms semisort= 26.114ms (keyed= 0.288ms group_by=  4.554ms per_group= 6.904ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 19.170ms frontier=  4.650ms semisort= 12.711ms (keyed= 0.148ms group_by=  2.113ms per_group= 3.332ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  9.762ms frontier=  2.171ms semisort=  6.324ms (keyed= 0.074ms group_by=  1.183ms per_group= 1.656ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  4.997ms frontier=  0.889ms semisort=  3.044ms (keyed= 0.051ms group_by=  0.658ms per_group= 0.795ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  2.792ms frontier=  0.390ms semisort=  1.184ms (keyed= 0.025ms group_by=  0.322ms per_group= 0.267ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  1.114ms frontier=  0.166ms semisort=  0.667ms (keyed= 0.018ms group_by=  0.262ms per_group= 0.145ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.594ms frontier=  0.097ms semisort=  0.358ms (keyed= 0.010ms group_by=  0.137ms per_group= 0.066ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.257ms frontier=  0.039ms semisort=  0.149ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.035ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.131ms frontier=  0.033ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.021ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.076ms frontier=  0.013ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.012ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.041ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.023ms frontier=  0.005ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.009ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.021ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
