[synthetic_bench] quintic n=19 d=2 classes=9904432 merges=19 ...
[pe] round=  0 work=       38 frontier= 24760990 next=  4952198 consolidate=  2.988ms frontier=  6.296ms semisort=730.444ms (keyed=28.436ms group_by=238.412ms per_group=171.815ms)
[pe] round=  1 work=  4952198 frontier=  4952198 next=  2097152 consolidate=337.220ms frontier= 68.346ms semisort=273.645ms (keyed= 8.208ms group_by= 47.047ms per_group=54.807ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate=151.944ms frontier= 35.968ms semisort=120.542ms (keyed= 1.161ms group_by= 24.641ms per_group=27.858ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   757894 consolidate= 78.010ms frontier= 17.961ms semisort= 62.285ms (keyed= 0.649ms group_by= 10.962ms per_group=19.922ms)
[pe] round=  4 work=   757894 frontier=   757894 next=   524288 consolidate= 59.469ms frontier= 15.307ms semisort= 45.829ms (keyed= 0.524ms group_by=  7.606ms per_group=14.304ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 44.927ms frontier= 10.418ms semisort= 27.681ms (keyed= 0.346ms group_by=  5.173ms per_group= 8.050ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 22.499ms frontier=  5.508ms semisort= 15.007ms (keyed= 0.178ms group_by=  2.761ms per_group= 4.126ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 11.832ms frontier=  2.615ms semisort=  7.782ms (keyed= 0.090ms group_by=  1.355ms per_group= 2.213ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.472ms frontier=  1.041ms semisort=  3.863ms (keyed= 0.043ms group_by=  0.897ms per_group= 0.987ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.690ms frontier=  0.465ms semisort=  1.551ms (keyed= 0.031ms group_by=  0.428ms per_group= 0.368ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.981ms frontier=  0.277ms semisort=  0.818ms (keyed= 0.022ms group_by=  0.215ms per_group= 0.173ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.837ms frontier=  0.157ms semisort=  0.589ms (keyed= 0.016ms group_by=  0.323ms per_group= 0.083ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.339ms frontier=  0.079ms semisort=  0.270ms (keyed= 0.007ms group_by=  0.133ms per_group= 0.042ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.162ms frontier=  0.049ms semisort=  0.139ms (keyed= 0.004ms group_by=  0.065ms per_group= 0.022ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.089ms frontier=  0.034ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.019ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.049ms frontier=  0.015ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.030ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.019ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.015ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
