[synthetic_bench] quintic n=19 d=2 classes=9904432 merges=19 ...
[pe] round=  0 work=       38 frontier= 24760990 next=  4952198 consolidate=  3.701ms frontier=  6.366ms semisort=501.947ms (keyed=25.998ms group_by=182.363ms per_group=105.878ms)
[pe] round=  1 work=  4952198 frontier=  4952198 next=  2097152 consolidate=218.112ms frontier= 46.392ms semisort=188.519ms (keyed= 9.923ms group_by= 36.733ms per_group=35.137ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 99.537ms frontier= 26.197ms semisort= 86.939ms (keyed= 0.929ms group_by= 20.828ms per_group=19.288ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   757894 consolidate= 52.499ms frontier= 13.633ms semisort= 43.078ms (keyed= 0.461ms group_by=  8.166ms per_group=13.617ms)
[pe] round=  4 work=   757894 frontier=   757894 next=   524288 consolidate= 39.724ms frontier= 11.135ms semisort= 32.080ms (keyed= 0.343ms group_by=  5.556ms per_group=10.004ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 29.424ms frontier=  7.746ms semisort= 20.460ms (keyed= 0.212ms group_by=  4.458ms per_group= 5.294ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.653ms frontier=  4.226ms semisort= 10.333ms (keyed= 0.106ms group_by=  2.429ms per_group= 2.611ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.971ms frontier=  1.918ms semisort=  5.513ms (keyed= 0.068ms group_by=  1.299ms per_group= 1.190ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.100ms frontier=  0.902ms semisort=  2.675ms (keyed= 0.064ms group_by=  0.740ms per_group= 0.557ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.019ms frontier=  0.502ms semisort=  1.330ms (keyed= 0.019ms group_by=  0.423ms per_group= 0.280ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.956ms frontier=  0.272ms semisort=  0.784ms (keyed= 0.020ms group_by=  0.234ms per_group= 0.164ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.667ms frontier=  0.171ms semisort=  0.575ms (keyed= 0.011ms group_by=  0.288ms per_group= 0.100ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.282ms frontier=  0.106ms semisort=  0.262ms (keyed= 0.008ms group_by=  0.136ms per_group= 0.037ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.151ms frontier=  0.043ms semisort=  0.187ms (keyed= 0.003ms group_by=  0.059ms per_group= 0.058ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.070ms frontier=  0.025ms semisort=  0.139ms (keyed= 0.023ms group_by=  0.026ms per_group= 0.015ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.041ms frontier=  0.013ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.011ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.066ms frontier=  0.009ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.037ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
