[synthetic_bench] quintic n=20 d=2 classes=12800038 merges=20 ...
[pe] round=  0 work=       40 frontier= 32000000 next=  6400000 consolidate=  9.632ms frontier= 20.673ms semisort=3586.439ms (keyed=119.070ms group_by=1138.825ms per_group=937.520ms)
[pe] round=  1 work=  6400000 frontier=  6400000 next=  2205696 consolidate=1680.035ms frontier=371.795ms semisort=1405.199ms (keyed=21.906ms group_by=237.843ms per_group=257.723ms)
[pe] round=  2 work=  2205696 frontier=  2205696 next=  2097152 consolidate=587.814ms frontier=125.013ms semisort=527.935ms (keyed= 4.224ms group_by= 64.620ms per_group=158.269ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=564.534ms frontier=126.222ms semisort=374.993ms (keyed= 4.029ms group_by= 67.160ms per_group=100.187ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=281.584ms frontier= 62.515ms semisort=186.654ms (keyed= 2.042ms group_by= 32.668ms per_group=49.943ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=141.940ms frontier= 31.925ms semisort= 96.156ms (keyed= 1.008ms group_by= 16.170ms per_group=25.694ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 73.120ms frontier= 14.993ms semisort= 46.468ms (keyed= 0.520ms group_by=  8.260ms per_group=13.969ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 36.089ms frontier=  7.903ms semisort= 23.106ms (keyed= 0.253ms group_by=  3.946ms per_group= 6.596ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 17.439ms frontier=  3.445ms semisort= 11.396ms (keyed= 0.131ms group_by=  2.059ms per_group= 3.115ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  8.861ms frontier=  1.513ms semisort=  4.636ms (keyed= 0.065ms group_by=  1.121ms per_group= 1.015ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.179ms frontier=  0.461ms semisort=  1.903ms (keyed= 0.032ms group_by=  0.451ms per_group= 0.496ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.345ms frontier=  0.231ms semisort=  1.111ms (keyed= 0.017ms group_by=  0.270ms per_group= 0.264ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.046ms frontier=  0.095ms semisort=  0.401ms (keyed= 0.008ms group_by=  0.107ms per_group= 0.112ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.494ms frontier=  0.046ms semisort=  0.185ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.056ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.252ms frontier=  0.022ms semisort=  0.086ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.130ms frontier=  0.013ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.015ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.061ms frontier=  0.006ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.033ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.001ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.019ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.005ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
