[synthetic_bench] quintic n=20 d=2 classes=12800038 merges=20 ...
[pe] round=  0 work=       40 frontier= 32000000 next=  6400000 consolidate=  3.862ms frontier=  8.116ms semisort=1371.502ms (keyed=40.521ms group_by=715.588ms per_group=229.416ms)
[pe] round=  1 work=  6400000 frontier=  6400000 next=  2205696 consolidate=443.484ms frontier=100.106ms semisort=368.576ms (keyed= 7.867ms group_by= 68.504ms per_group=66.209ms)
[pe] round=  2 work=  2205696 frontier=  2205696 next=  2097152 consolidate=167.260ms frontier= 37.764ms semisort=152.124ms (keyed= 1.159ms group_by= 18.598ms per_group=49.037ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=158.177ms frontier= 43.708ms semisort= 98.862ms (keyed= 1.117ms group_by= 19.286ms per_group=26.819ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 82.813ms frontier= 21.342ms semisort= 52.156ms (keyed= 0.582ms group_by=  9.334ms per_group=13.807ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 46.082ms frontier= 11.871ms semisort= 30.056ms (keyed= 0.335ms group_by=  5.433ms per_group= 8.792ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 24.786ms frontier=  5.588ms semisort= 15.462ms (keyed= 0.195ms group_by=  2.743ms per_group= 4.530ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 11.121ms frontier=  3.048ms semisort=  7.161ms (keyed= 0.087ms group_by=  1.512ms per_group= 1.948ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.550ms frontier=  1.015ms semisort=  3.849ms (keyed= 0.061ms group_by=  0.850ms per_group= 0.925ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.689ms frontier=  0.486ms semisort=  1.586ms (keyed= 0.031ms group_by=  0.417ms per_group= 0.384ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.864ms frontier=  0.261ms semisort=  0.843ms (keyed= 0.021ms group_by=  0.246ms per_group= 0.175ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.771ms frontier=  0.138ms semisort=  0.531ms (keyed= 0.009ms group_by=  0.278ms per_group= 0.073ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.334ms frontier=  0.079ms semisort=  0.278ms (keyed= 0.006ms group_by=  0.138ms per_group= 0.040ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.175ms frontier=  0.051ms semisort=  0.133ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.024ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.092ms frontier=  0.027ms semisort=  0.069ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.015ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.045ms frontier=  0.015ms semisort=  0.049ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.031ms frontier=  0.008ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.017ms frontier=  0.006ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.004ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
