[synthetic_bench] quintic n=20 d=2 classes=12800038 merges=20 ...
[pe] round=  0 work=       40 frontier= 32000000 next=  6400000 consolidate=  4.081ms frontier=  8.689ms semisort=1102.252ms (keyed=31.929ms group_by=660.558ms per_group=152.591ms)
[pe] round=  1 work=  6400000 frontier=  6400000 next=  2205696 consolidate=287.737ms frontier= 62.620ms semisort=273.879ms (keyed= 9.693ms group_by= 52.935ms per_group=43.200ms)
[pe] round=  2 work=  2205696 frontier=  2205696 next=  2097152 consolidate=124.831ms frontier= 26.833ms semisort=104.806ms (keyed= 1.057ms group_by= 14.548ms per_group=33.622ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=103.875ms frontier= 31.356ms semisort= 72.267ms (keyed= 1.046ms group_by= 15.030ms per_group=17.732ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 53.113ms frontier= 14.862ms semisort= 41.772ms (keyed= 0.470ms group_by=  7.918ms per_group=12.705ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 36.522ms frontier=  9.625ms semisort= 22.971ms (keyed= 0.212ms group_by=  5.444ms per_group= 6.080ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.883ms frontier=  3.991ms semisort= 11.702ms (keyed= 0.149ms group_by=  2.556ms per_group= 2.986ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.667ms frontier=  2.270ms semisort=  4.997ms (keyed= 0.056ms group_by=  1.204ms per_group= 1.286ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  4.097ms frontier=  0.720ms semisort=  2.707ms (keyed= 0.046ms group_by=  0.844ms per_group= 0.626ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.243ms frontier=  0.452ms semisort=  1.431ms (keyed= 0.054ms group_by=  0.448ms per_group= 0.287ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.581ms frontier=  0.234ms semisort=  0.673ms (keyed= 0.019ms group_by=  0.150ms per_group= 0.189ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.596ms frontier=  0.165ms semisort=  0.550ms (keyed= 0.008ms group_by=  0.255ms per_group= 0.075ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.334ms frontier=  0.192ms semisort=  0.437ms (keyed= 0.007ms group_by=  0.158ms per_group= 0.110ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.200ms frontier=  0.079ms semisort=  0.179ms (keyed= 0.004ms group_by=  0.067ms per_group= 0.046ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.085ms frontier=  0.024ms semisort=  0.137ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.049ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.082ms frontier=  0.015ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.011ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.024ms frontier=  0.008ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
