[synthetic_bench] quintic n=21 d=2 classes=16336444 merges=21 ...
[pe] round=  0 work=       42 frontier= 40841010 next=  8168202 consolidate= 12.426ms frontier= 40.947ms semisort=4683.770ms (keyed=318.048ms group_by=1413.921ms per_group=1222.005ms)
[pe] round=  1 work=  8168202 frontier=  8168202 next=  3973898 consolidate=2238.845ms frontier=417.472ms semisort=1718.616ms (keyed=38.872ms group_by=256.264ms per_group=387.623ms)
[pe] round=  2 work=  3973898 frontier=  3973898 next=  2097152 consolidate=1088.247ms frontier=229.883ms semisort=709.908ms (keyed= 7.542ms group_by=122.133ms per_group=188.726ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=554.709ms frontier=124.506ms semisort=376.204ms (keyed= 4.058ms group_by= 67.784ms per_group=98.027ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate=280.331ms frontier= 60.422ms semisort=185.494ms (keyed= 2.027ms group_by= 31.164ms per_group=49.772ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=140.255ms frontier= 32.308ms semisort= 96.790ms (keyed= 1.026ms group_by= 15.759ms per_group=25.655ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 70.870ms frontier= 15.603ms semisort= 49.284ms (keyed= 0.534ms group_by=  7.906ms per_group=13.376ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 35.940ms frontier=  7.672ms semisort= 25.805ms (keyed= 0.261ms group_by=  3.949ms per_group= 6.313ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate= 17.947ms frontier=  3.623ms semisort= 12.542ms (keyed= 0.170ms group_by=  2.153ms per_group= 3.287ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  9.127ms frontier=  1.543ms semisort=  4.995ms (keyed= 0.066ms group_by=  1.230ms per_group= 1.034ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  4.300ms frontier=  0.647ms semisort=  2.129ms (keyed= 0.034ms group_by=  0.552ms per_group= 0.487ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  2.276ms frontier=  0.197ms semisort=  0.859ms (keyed= 0.016ms group_by=  0.234ms per_group= 0.223ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  1.038ms frontier=  0.098ms semisort=  0.396ms (keyed= 0.008ms group_by=  0.121ms per_group= 0.111ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.492ms frontier=  0.045ms semisort=  0.179ms (keyed= 0.004ms group_by=  0.052ms per_group= 0.056ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.243ms frontier=  0.023ms semisort=  0.086ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.028ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.122ms frontier=  0.010ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.014ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.061ms frontier=  0.007ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.035ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.018ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.010ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.000ms (break)
