[synthetic_bench] quintic n=21 d=2 classes=16336444 merges=21 ...
[pe] round=  0 work=       42 frontier= 40841010 next=  8168202 consolidate=  5.111ms frontier= 14.450ms semisort=2269.241ms (keyed=351.410ms group_by=1057.476ms per_group=326.843ms)
[pe] round=  1 work=  8168202 frontier=  8168202 next=  3973898 consolidate=618.774ms frontier=115.635ms semisort=502.671ms (keyed=20.834ms group_by= 71.848ms per_group=104.005ms)
[pe] round=  2 work=  3973898 frontier=  3973898 next=  2097152 consolidate=335.861ms frontier= 67.853ms semisort=190.551ms (keyed= 2.022ms group_by= 35.247ms per_group=49.035ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=169.746ms frontier= 39.901ms semisort=107.273ms (keyed= 1.145ms group_by= 20.207ms per_group=30.531ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 83.181ms frontier= 22.654ms semisort= 54.360ms (keyed= 0.608ms group_by=  9.619ms per_group=14.469ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 47.656ms frontier= 11.185ms semisort= 31.470ms (keyed= 0.306ms group_by=  5.474ms per_group= 9.068ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 22.041ms frontier=  5.924ms semisort= 16.230ms (keyed= 0.168ms group_by=  3.046ms per_group= 3.878ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate= 11.076ms frontier=  2.545ms semisort=  7.591ms (keyed= 0.076ms group_by=  1.628ms per_group= 1.857ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  5.617ms frontier=  1.058ms semisort=  3.845ms (keyed= 0.043ms group_by=  0.862ms per_group= 0.978ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.679ms frontier=  0.563ms semisort=  1.440ms (keyed= 0.024ms group_by=  0.366ms per_group= 0.312ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.768ms frontier=  0.303ms semisort=  0.817ms (keyed= 0.014ms group_by=  0.234ms per_group= 0.151ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.863ms frontier=  0.155ms semisort=  0.581ms (keyed= 0.010ms group_by=  0.318ms per_group= 0.080ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.342ms frontier=  0.072ms semisort=  0.282ms (keyed= 0.006ms group_by=  0.137ms per_group= 0.050ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.168ms frontier=  0.046ms semisort=  0.147ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.025ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.087ms frontier=  0.027ms semisort=  0.072ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.019ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.051ms frontier=  0.013ms semisort=  0.052ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.013ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.027ms frontier=  0.009ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.025ms frontier=  0.006ms semisort=  0.017ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.006ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.023ms frontier=  0.003ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
