[synthetic_bench] quintic n=21 d=2 classes=16336444 merges=21 ...
[pe] round=  0 work=       42 frontier= 40841010 next=  8168202 consolidate=  5.492ms frontier= 15.878ms semisort=1940.608ms (keyed=329.753ms group_by=1029.623ms per_group=208.494ms)
[pe] round=  1 work=  8168202 frontier=  8168202 next=  3973898 consolidate=407.125ms frontier= 78.364ms semisort=370.454ms (keyed=22.913ms group_by= 54.024ms per_group=68.863ms)
[pe] round=  2 work=  3973898 frontier=  3973898 next=  2097152 consolidate=246.517ms frontier= 52.910ms semisort=138.794ms (keyed= 1.608ms group_by= 27.617ms per_group=35.020ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=115.446ms frontier= 30.943ms semisort= 75.798ms (keyed= 1.119ms group_by= 15.796ms per_group=20.096ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 57.903ms frontier= 16.195ms semisort= 39.138ms (keyed= 0.467ms group_by=  7.524ms per_group=10.529ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 33.820ms frontier=  8.441ms semisort= 21.279ms (keyed= 0.265ms group_by=  4.160ms per_group= 5.993ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.250ms frontier=  3.914ms semisort= 11.836ms (keyed= 0.156ms group_by=  2.916ms per_group= 2.560ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.647ms frontier=  2.027ms semisort=  5.450ms (keyed= 0.063ms group_by=  1.518ms per_group= 1.217ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.818ms frontier=  0.729ms semisort=  2.648ms (keyed= 0.048ms group_by=  0.660ms per_group= 0.623ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.037ms frontier=  0.515ms semisort=  1.389ms (keyed= 0.051ms group_by=  0.415ms per_group= 0.284ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.548ms frontier=  0.219ms semisort=  0.643ms (keyed= 0.011ms group_by=  0.176ms per_group= 0.164ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.712ms frontier=  0.152ms semisort=  0.576ms (keyed= 0.041ms group_by=  0.253ms per_group= 0.107ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.338ms frontier=  0.119ms semisort=  0.316ms (keyed= 0.008ms group_by=  0.126ms per_group= 0.089ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.186ms frontier=  0.048ms semisort=  0.152ms (keyed= 0.004ms group_by=  0.069ms per_group= 0.022ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.153ms frontier=  0.032ms semisort=  0.137ms (keyed= 0.002ms group_by=  0.028ms per_group= 0.055ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.079ms frontier=  0.013ms semisort=  0.036ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.008ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.052ms frontier=  0.009ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.008ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
