[synthetic_bench] quintic n=22 d=2 classes=20614570 merges=22 ...
[pe] round=  0 work=       44 frontier= 51536320 next= 10307264 consolidate=  6.284ms frontier= 12.945ms semisort=3046.649ms (keyed=491.582ms group_by=1349.361ms per_group=424.051ms)
[pe] round=  1 work= 10307264 frontier= 10307264 next=  4194304 consolidate=832.969ms frontier=145.620ms semisort=756.513ms (keyed=11.301ms group_by=208.051ms per_group=145.341ms)
[pe] round=  2 work=  4194304 frontier=  4194304 next=  2097152 consolidate=457.004ms frontier= 77.313ms semisort=295.080ms (keyed= 2.192ms group_by= 86.053ms per_group=64.152ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1918656 consolidate=196.494ms frontier= 48.624ms semisort=160.722ms (keyed= 1.135ms group_by= 31.661ms per_group=50.260ms)
[pe] round=  4 work=  1918656 frontier=  1918656 next=  1048576 consolidate=186.577ms frontier= 40.971ms semisort=108.534ms (keyed= 1.570ms group_by= 20.343ms per_group=27.942ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 93.812ms frontier= 23.662ms semisort= 56.179ms (keyed= 0.634ms group_by=  9.907ms per_group=16.336ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 52.366ms frontier= 11.358ms semisort= 29.532ms (keyed= 0.316ms group_by=  5.109ms per_group= 8.450ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 27.415ms frontier=  6.547ms semisort= 18.329ms (keyed= 0.222ms group_by=  3.157ms per_group= 5.012ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate= 14.124ms frontier=  2.452ms semisort=  7.136ms (keyed= 0.087ms group_by=  1.469ms per_group= 1.845ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  5.889ms frontier=  0.972ms semisort=  3.530ms (keyed= 0.066ms group_by=  0.818ms per_group= 0.897ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.883ms frontier=  0.505ms semisort=  1.548ms (keyed= 0.032ms group_by=  0.411ms per_group= 0.372ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.932ms frontier=  0.272ms semisort=  0.940ms (keyed= 0.016ms group_by=  0.154ms per_group= 0.161ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.673ms frontier=  0.154ms semisort=  0.532ms (keyed= 0.014ms group_by=  0.282ms per_group= 0.076ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.328ms frontier=  0.087ms semisort=  0.279ms (keyed= 0.012ms group_by=  0.140ms per_group= 0.041ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.180ms frontier=  0.044ms semisort=  0.150ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.030ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.096ms frontier=  0.029ms semisort=  0.066ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.015ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.059ms frontier=  0.018ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.009ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.027ms frontier=  0.009ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.008ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.022ms frontier=  0.004ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.015ms frontier=  0.003ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.013ms frontier=  0.002ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.007ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.005ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
