[synthetic_bench] quintic n=22 d=2 classes=20614570 merges=22 ...
[pe] round=  0 work=       44 frontier= 51536320 next= 10307264 consolidate=  6.264ms frontier= 11.675ms semisort=2571.936ms (keyed=406.592ms group_by=1414.750ms per_group=269.449ms)
[pe] round=  1 work= 10307264 frontier= 10307264 next=  4194304 consolidate=521.241ms frontier= 97.001ms semisort=6591.806ms (keyed=20.619ms group_by=6192.247ms per_group=113.845ms)
[pe] round=  2 work=  4194304 frontier=  4194304 next=  2097152 consolidate=331.341ms frontier= 53.113ms semisort=217.865ms (keyed= 1.738ms group_by= 65.214ms per_group=42.319ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1918656 consolidate=121.163ms frontier= 29.405ms semisort=104.886ms (keyed= 0.838ms group_by= 23.204ms per_group=31.496ms)
[pe] round=  4 work=  1918656 frontier=  1918656 next=  1048576 consolidate=111.801ms frontier= 27.493ms semisort= 69.308ms (keyed= 1.361ms group_by= 12.412ms per_group=18.525ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 59.636ms frontier= 15.666ms semisort= 40.267ms (keyed= 0.454ms group_by=  7.951ms per_group=10.792ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 40.060ms frontier=  8.072ms semisort= 23.107ms (keyed= 0.209ms group_by=  3.975ms per_group= 5.625ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 20.127ms frontier=  5.068ms semisort= 10.831ms (keyed= 0.122ms group_by=  2.172ms per_group= 2.839ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate=  8.288ms frontier=  2.001ms semisort=  5.315ms (keyed= 0.060ms group_by=  1.381ms per_group= 1.344ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  3.873ms frontier=  0.785ms semisort=  2.789ms (keyed= 0.049ms group_by=  0.774ms per_group= 0.729ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.104ms frontier=  0.388ms semisort=  1.493ms (keyed= 0.024ms group_by=  0.424ms per_group= 0.363ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.556ms frontier=  0.271ms semisort=  0.666ms (keyed= 0.027ms group_by=  0.254ms per_group= 0.120ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.608ms frontier=  0.132ms semisort=  0.582ms (keyed= 0.008ms group_by=  0.278ms per_group= 0.065ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.309ms frontier=  0.073ms semisort=  0.291ms (keyed= 0.013ms group_by=  0.121ms per_group= 0.061ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.136ms frontier=  0.042ms semisort=  0.146ms (keyed= 0.004ms group_by=  0.050ms per_group= 0.029ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.118ms frontier=  0.027ms semisort=  0.081ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.031ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.054ms frontier=  0.016ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.034ms frontier=  0.007ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.005ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
