[synthetic_bench] quintic n=23 d=2 classes=25745416 merges=23 ...
[pe] round=  0 work=       46 frontier= 64363430 next= 12872686 consolidate=  7.386ms frontier= 13.861ms semisort=3786.701ms (keyed=709.758ms group_by=1885.023ms per_group=430.657ms)
[pe] round=  1 work= 12872686 frontier= 12872686 next=  4484078 consolidate=745.019ms frontier=122.761ms semisort=952.951ms (keyed=135.314ms group_by=238.064ms per_group=124.791ms)
[pe] round=  2 work=  4484078 frontier=  4484078 next=  4194304 consolidate=353.630ms frontier= 59.739ms semisort=310.280ms (keyed=39.426ms group_by= 54.929ms per_group=76.243ms)
[pe] round=  3 work=  4194304 frontier=  4194304 next=  2097152 consolidate=265.601ms frontier= 64.103ms semisort=170.915ms (keyed= 1.760ms group_by= 31.610ms per_group=42.108ms)
[pe] round=  4 work=  2097152 frontier=  2097152 next=  1048576 consolidate=150.396ms frontier= 49.272ms semisort= 97.965ms (keyed= 1.086ms group_by= 30.634ms per_group=25.344ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 75.170ms frontier= 21.300ms semisort= 44.521ms (keyed= 0.528ms group_by=  8.806ms per_group=13.062ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 39.914ms frontier=  9.891ms semisort= 25.304ms (keyed= 0.228ms group_by=  5.050ms per_group= 7.291ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 18.442ms frontier=  4.414ms semisort= 10.727ms (keyed= 0.118ms group_by=  2.482ms per_group= 2.963ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate=  8.840ms frontier=  1.861ms semisort=  5.886ms (keyed= 0.059ms group_by=  1.551ms per_group= 1.362ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  4.297ms frontier=  0.959ms semisort=  3.357ms (keyed= 0.047ms group_by=  0.866ms per_group= 0.738ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.555ms frontier=  0.466ms semisort=  1.771ms (keyed= 0.020ms group_by=  0.569ms per_group= 0.393ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.894ms frontier=  0.232ms semisort=  1.060ms (keyed= 0.041ms group_by=  0.273ms per_group= 0.172ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.744ms frontier=  0.179ms semisort=  0.504ms (keyed= 0.012ms group_by=  0.293ms per_group= 0.064ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.259ms frontier=  0.085ms semisort=  0.293ms (keyed= 0.007ms group_by=  0.132ms per_group= 0.062ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.135ms frontier=  0.041ms semisort=  0.165ms (keyed= 0.003ms group_by=  0.057ms per_group= 0.032ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.068ms frontier=  0.023ms semisort=  0.066ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.012ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.040ms frontier=  0.016ms semisort=  0.062ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.034ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.025ms frontier=  0.008ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.007ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.011ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.010ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
