[synthetic_bench] cube n=140 d=2 classes=10976278 merges=140 ...
[pe] round=  0 work=      280 frontier= 16464000 next=  5488000 consolidate= 12.703ms frontier= 26.088ms semisort=1115.742ms (keyed=149.354ms group_by=559.921ms per_group=225.698ms)
[pe] round=  1 work=  5488000 frontier=  5488000 next=  2097152 consolidate=354.012ms frontier= 57.779ms semisort=397.449ms (keyed=26.518ms group_by=132.380ms per_group=44.835ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1293696 consolidate=123.821ms frontier= 27.084ms semisort= 85.943ms (keyed= 0.870ms group_by= 18.271ms per_group=21.391ms)
[pe] round=  3 work=  1293696 frontier=  1293696 next=  1048576 consolidate= 67.123ms frontier= 18.361ms semisort= 51.404ms (keyed= 0.529ms group_by=  7.826ms per_group=16.505ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 53.984ms frontier= 15.311ms semisort= 34.385ms (keyed= 0.561ms group_by=  6.683ms per_group= 8.979ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 28.300ms frontier=  7.658ms semisort= 18.336ms (keyed= 0.204ms group_by=  3.945ms per_group= 4.830ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 14.358ms frontier=  3.753ms semisort=  9.323ms (keyed= 0.114ms group_by=  1.873ms per_group= 2.377ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.151ms frontier=  1.692ms semisort=  4.990ms (keyed= 0.079ms group_by=  1.244ms per_group= 1.219ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.553ms frontier=  0.635ms semisort=  2.637ms (keyed= 0.039ms group_by=  0.765ms per_group= 0.574ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.866ms frontier=  0.412ms semisort=  1.268ms (keyed= 0.021ms group_by=  0.370ms per_group= 0.274ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.336ms frontier=  0.189ms semisort=  0.614ms (keyed= 0.011ms group_by=  0.120ms per_group= 0.171ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.555ms frontier=  0.210ms semisort=  0.467ms (keyed= 0.008ms group_by=  0.221ms per_group= 0.062ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.265ms frontier=  0.153ms semisort=  0.280ms (keyed= 0.009ms group_by=  0.116ms per_group= 0.049ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.153ms frontier=  0.061ms semisort=  0.148ms (keyed= 0.004ms group_by=  0.052ms per_group= 0.022ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.093ms frontier=  0.022ms semisort=  0.104ms (keyed= 0.015ms group_by=  0.025ms per_group= 0.013ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.063ms frontier=  0.016ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.011ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.072ms frontier=  0.009ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
