[synthetic_bench] quartic n=25 d=2 classes=1562548 merges=25 ...
[pe] round=  0 work=       50 frontier=  3125000 next=   781250 consolidate=  0.573ms frontier=  0.768ms semisort= 64.601ms (keyed= 7.471ms group_by= 24.599ms per_group=12.536ms)
[pe] round=  1 work=   781250 frontier=   781250 next=   262144 consolidate= 27.005ms frontier=  4.300ms semisort= 22.840ms (keyed= 2.044ms group_by=  6.243ms per_group= 3.803ms)
[pe] round=  2 work=   262144 frontier=   262144 next=   256962 consolidate=  9.694ms frontier=  2.319ms semisort=  9.302ms (keyed= 0.129ms group_by=  2.288ms per_group= 2.418ms)
[pe] round=  3 work=   256962 frontier=   256962 next=   131072 consolidate=  9.697ms frontier=  2.311ms semisort=  7.385ms (keyed= 0.363ms group_by=  1.863ms per_group= 1.703ms)
[pe] round=  4 work=   131072 frontier=   131072 next=    65536 consolidate=  6.178ms frontier=  1.678ms semisort=  4.027ms (keyed= 0.059ms group_by=  1.114ms per_group= 0.947ms)
[pe] round=  5 work=    65536 frontier=    65536 next=    32768 consolidate=  3.299ms frontier=  0.718ms semisort=  2.532ms (keyed= 0.034ms group_by=  0.735ms per_group= 0.679ms)
[pe] round=  6 work=    32768 frontier=    32768 next=    16384 consolidate=  2.133ms frontier=  0.338ms semisort=  1.157ms (keyed= 0.053ms group_by=  0.319ms per_group= 0.226ms)
[pe] round=  7 work=    16384 frontier=    16384 next=     8192 consolidate=  1.196ms frontier=  0.177ms semisort=  0.551ms (keyed= 0.016ms group_by=  0.141ms per_group= 0.118ms)
[pe] round=  8 work=     8192 frontier=     8192 next=     4096 consolidate=  0.482ms frontier=  0.165ms semisort=  0.444ms (keyed= 0.011ms group_by=  0.217ms per_group= 0.100ms)
[pe] round=  9 work=     4096 frontier=     4096 next=     2048 consolidate=  0.243ms frontier=  0.098ms semisort=  0.266ms (keyed= 0.006ms group_by=  0.116ms per_group= 0.049ms)
[pe] round= 10 work=     2048 frontier=     2048 next=     1024 consolidate=  0.129ms frontier=  0.074ms semisort=  0.164ms (keyed= 0.004ms group_by=  0.051ms per_group= 0.020ms)
[pe] round= 11 work=     1024 frontier=     1024 next=      512 consolidate=  0.081ms frontier=  0.025ms semisort=  0.123ms (keyed= 0.002ms group_by=  0.023ms per_group= 0.013ms)
[pe] round= 12 work=      512 frontier=      512 next=      256 consolidate=  0.041ms frontier=  0.015ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.010ms)
[pe] round= 13 work=      256 frontier=      256 next=      128 consolidate=  0.022ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 14 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 15 work=       64 frontier=       64 next=       32 consolidate=  0.033ms frontier=  0.003ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 16 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 19 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
