[synthetic_bench] quartic n=35 d=2 classes=6002568 merges=35 ...
[pe] round=  0 work=       70 frontier= 12005000 next=  3001250 consolidate=  1.707ms frontier=  2.948ms semisort=232.346ms (keyed=14.221ms group_by= 80.660ms per_group=49.620ms)
[pe] round=  1 work=  3001250 frontier=  3001250 next=  1048576 consolidate=121.328ms frontier= 25.274ms semisort=112.247ms (keyed= 6.720ms group_by= 27.545ms per_group=19.204ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   904098 consolidate= 53.699ms frontier= 12.341ms semisort= 42.480ms (keyed= 0.427ms group_by=  9.071ms per_group=11.243ms)
[pe] round=  3 work=   904098 frontier=   904098 next=   524288 consolidate= 40.825ms frontier= 11.219ms semisort= 30.000ms (keyed= 0.635ms group_by=  5.850ms per_group= 7.451ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 24.923ms frontier=  6.899ms semisort= 16.340ms (keyed= 0.209ms group_by=  3.630ms per_group= 3.707ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate= 13.308ms frontier=  3.873ms semisort=  9.009ms (keyed= 0.106ms group_by=  2.150ms per_group= 2.055ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  6.817ms frontier=  1.792ms semisort=  4.981ms (keyed= 0.069ms group_by=  1.157ms per_group= 1.197ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  3.679ms frontier=  0.742ms semisort=  2.727ms (keyed= 0.057ms group_by=  0.740ms per_group= 0.530ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  1.897ms frontier=  0.374ms semisort=  1.241ms (keyed= 0.023ms group_by=  0.373ms per_group= 0.250ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  1.336ms frontier=  0.235ms semisort=  0.674ms (keyed= 0.014ms group_by=  0.175ms per_group= 0.151ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  0.592ms frontier=  0.159ms semisort=  0.486ms (keyed= 0.008ms group_by=  0.263ms per_group= 0.060ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.333ms frontier=  0.112ms semisort=  0.315ms (keyed= 0.006ms group_by=  0.130ms per_group= 0.072ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.128ms frontier=  0.042ms semisort=  0.193ms (keyed= 0.004ms group_by=  0.055ms per_group= 0.059ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.082ms frontier=  0.026ms semisort=  0.069ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.015ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.054ms frontier=  0.014ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.012ms)
[pe] round= 15 work=      256 frontier=      256 next=      128 consolidate=  0.073ms frontier=  0.008ms semisort=  0.023ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.006ms)
[pe] round= 16 work=      128 frontier=      128 next=       64 consolidate=  0.017ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       64 frontier=       64 next=       32 consolidate=  0.008ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 18 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
