[synthetic_bench] quartic n=45 d=2 classes=16402588 merges=45 ...
[pe-async] round=  0 R=2 dirty=  8201250 groups=  4100625 filter= 14.523ms semisort=205.753ms
[pe-async] round=  1 R=3 dirty=  4194304 groups=  2190831 filter= 19.834ms semisort=100.058ms
[pe-async] round=  2 R=4 dirty=  2097152 groups=  1048576 filter= 21.157ms semisort= 59.210ms
[pe-async] round=  3 R=5 dirty=  1048576 groups=   524288 filter= 21.097ms semisort= 35.102ms
[pe-async] round=  4 R=6 dirty=   524288 groups=   262144 filter= 23.989ms semisort= 15.959ms
[pe-async] round=  5 R=7 dirty=   262144 groups=   131072 filter= 19.779ms semisort= 10.268ms
[pe-async] round=  6 R=8 dirty=   131072 groups=    65536 filter= 19.560ms semisort=  5.837ms
[pe-async] round=  7 R=9 dirty=    65536 groups=    32768 filter= 18.494ms semisort=  2.993ms
[pe-async] round=  8 R=10 dirty=    32768 groups=    16384 filter= 17.988ms semisort=  1.867ms
[pe-async] round=  9 R=11 dirty=    16384 groups=     8192 filter= 17.462ms semisort=  0.918ms
[pe-async] round= 10 R=12 dirty=     8192 groups=     4096 filter= 17.501ms semisort=  1.002ms
[pe-async] round= 11 R=13 dirty=     4096 groups=     2048 filter= 17.185ms semisort=  0.551ms
[pe-async] round= 12 R=14 dirty=     2048 groups=     1024 filter= 17.090ms semisort=  0.338ms
[pe-async] round= 13 R=15 dirty=     1024 groups=      512 filter= 17.027ms semisort=  0.179ms
[pe-async] round= 14 R=16 dirty=      512 groups=      256 filter= 17.254ms semisort=  0.120ms
[pe-async] round= 15 R=17 dirty=      256 groups=      128 filter= 17.108ms semisort=  0.064ms
[pe-async] round= 16 R=18 dirty=      128 groups=       64 filter= 16.942ms semisort=  0.065ms
[pe-async] round= 17 R=19 dirty=       64 groups=       32 filter= 17.127ms semisort=  0.037ms
[pe-async] round= 18 R=20 dirty=       32 groups=       16 filter= 17.083ms semisort=  0.028ms
[pe-async] round= 19 R=21 dirty=       16 groups=        8 filter= 17.132ms semisort=  0.010ms
[pe-async] round= 20 R=22 dirty=        8 groups=        4 filter= 17.199ms semisort=  0.006ms
[pe-async] round= 21 R=23 dirty=        4 groups=        2 filter= 17.097ms semisort=  0.015ms
[pe-async] round= 22 R=24 dirty=        2 groups=        1 filter= 16.929ms semisort=  0.003ms
[pe-async] round= 23 R=25 dirty=        0 filter= 17.078ms (clean break)
