[synthetic_bench] quintic n=16 d=2 classes=4194334 merges=16 ...
[pe] round=  0 work=       32 frontier= 10485760 next=  2097152 consolidate=  1.662ms frontier=  2.676ms semisort=195.131ms (keyed=14.206ms group_by= 65.009ms per_group=36.958ms)
[pe] round=  1 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 81.296ms frontier= 18.327ms semisort= 62.694ms (keyed= 0.873ms group_by= 14.095ms per_group=11.972ms)
[pe] round=  2 work=  1048576 frontier=  1048576 next=   524288 consolidate= 43.279ms frontier= 11.831ms semisort= 34.428ms (keyed= 0.484ms group_by=  8.984ms per_group= 6.982ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 25.139ms frontier=  6.612ms semisort= 17.986ms (keyed= 0.393ms group_by=  4.721ms per_group= 3.253ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   131072 consolidate= 12.539ms frontier=  3.458ms semisort=  8.734ms (keyed= 0.104ms group_by=  2.477ms per_group= 1.945ms)
[pe] round=  5 work=   131072 frontier=   131072 next=    65536 consolidate=  7.033ms frontier=  1.717ms semisort=  4.710ms (keyed= 0.059ms group_by=  1.278ms per_group= 1.077ms)
[pe] round=  6 work=    65536 frontier=    65536 next=    32768 consolidate=  3.558ms frontier=  0.727ms semisort=  2.609ms (keyed= 0.031ms group_by=  0.712ms per_group= 0.523ms)
[pe] round=  7 work=    32768 frontier=    32768 next=    16384 consolidate=  1.914ms frontier=  0.460ms semisort=  1.246ms (keyed= 0.023ms group_by=  0.342ms per_group= 0.319ms)
[pe] round=  8 work=    16384 frontier=    16384 next=     8192 consolidate=  1.385ms frontier=  0.199ms semisort=  0.547ms (keyed= 0.011ms group_by=  0.126ms per_group= 0.112ms)
[pe] round=  9 work=     8192 frontier=     8192 next=     4096 consolidate=  0.623ms frontier=  0.249ms semisort=  0.658ms (keyed= 0.008ms group_by=  0.232ms per_group= 0.058ms)
[pe] round= 10 work=     4096 frontier=     4096 next=     2048 consolidate=  0.319ms frontier=  0.174ms semisort=  0.423ms (keyed= 0.007ms group_by=  0.123ms per_group= 0.063ms)
[pe] round= 11 work=     2048 frontier=     2048 next=     1024 consolidate=  0.168ms frontier=  0.113ms semisort=  0.236ms (keyed= 0.004ms group_by=  0.058ms per_group= 0.032ms)
[pe] round= 12 work=     1024 frontier=     1024 next=      512 consolidate=  0.090ms frontier=  0.041ms semisort=  0.086ms (keyed= 0.002ms group_by=  0.028ms per_group= 0.012ms)
[pe] round= 13 work=      512 frontier=      512 next=      256 consolidate=  0.052ms frontier=  0.019ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.008ms)
[pe] round= 14 work=      256 frontier=      256 next=      128 consolidate=  0.026ms frontier=  0.009ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 15 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.004ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 16 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
