[synthetic_bench] quintic n=20 d=2 classes=12800038 merges=20 ...
[pe] round=  0 work=       40 frontier= 32000000 next=  6400000 consolidate= 19.821ms frontier= 21.345ms semisort=1205.480ms (keyed=194.790ms group_by=622.354ms per_group=136.126ms)
[pe] round=  1 work=  6400000 frontier=  6400000 next=  2205696 consolidate=271.937ms frontier= 59.168ms semisort=247.377ms (keyed=10.911ms group_by= 50.374ms per_group=39.686ms)
[pe] round=  2 work=  2205696 frontier=  2205696 next=  2097152 consolidate=140.140ms frontier= 23.519ms semisort= 96.182ms (keyed= 0.883ms group_by= 14.355ms per_group=29.728ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate= 97.716ms frontier= 27.252ms semisort= 67.620ms (keyed= 0.836ms group_by= 13.771ms per_group=16.640ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 53.088ms frontier= 21.354ms semisort= 45.388ms (keyed= 0.527ms group_by= 10.083ms per_group=11.066ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 31.700ms frontier=  9.853ms semisort= 28.021ms (keyed= 0.416ms group_by=  7.807ms per_group= 4.733ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.117ms frontier=  3.623ms semisort=  9.831ms (keyed= 0.108ms group_by=  2.506ms per_group= 2.473ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.292ms frontier=  1.753ms semisort=  4.956ms (keyed= 0.058ms group_by=  1.439ms per_group= 1.194ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.601ms frontier=  0.672ms semisort=  2.573ms (keyed= 0.032ms group_by=  0.692ms per_group= 0.576ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.866ms frontier=  0.372ms semisort=  1.239ms (keyed= 0.022ms group_by=  0.334ms per_group= 0.288ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.464ms frontier=  0.239ms semisort=  0.702ms (keyed= 0.015ms group_by=  0.224ms per_group= 0.133ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.616ms frontier=  0.204ms semisort=  0.508ms (keyed= 0.010ms group_by=  0.256ms per_group= 0.096ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.286ms frontier=  0.134ms semisort=  0.298ms (keyed= 0.006ms group_by=  0.131ms per_group= 0.071ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.153ms frontier=  0.049ms semisort=  0.178ms (keyed= 0.004ms group_by=  0.049ms per_group= 0.038ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.068ms frontier=  0.038ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.025ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.079ms frontier=  0.015ms semisort=  0.045ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.025ms frontier=  0.008ms semisort=  0.019ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.005ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
