[synthetic_bench] cube n=140 d=2 classes=10976278 merges=140 ...
[pe] round=  0 work=      280 frontier= 16464000 next=  5488000 consolidate=  2.849ms frontier=  5.220ms semisort=651.098ms (keyed=16.378ms group_by=385.580ms per_group=104.076ms)
[pe] round=  1 work=  5488000 frontier=  5488000 next=  2097152 consolidate=289.967ms frontier= 50.672ms semisort=294.108ms (keyed= 6.994ms group_by= 76.597ms per_group=40.099ms)
[pe] round=  2 work=  2097152 frontier=  2097152 next=  1293696 consolidate=151.570ms frontier= 26.353ms semisort= 97.523ms (keyed= 0.930ms group_by= 28.235ms per_group=21.355ms)
[pe] round=  3 work=  1293696 frontier=  1293696 next=  1048576 consolidate= 64.116ms frontier= 16.933ms semisort= 50.857ms (keyed= 0.574ms group_by=  7.795ms per_group=16.144ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 53.383ms frontier= 15.294ms semisort= 33.816ms (keyed= 0.423ms group_by=  7.031ms per_group= 8.159ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 27.443ms frontier=  7.641ms semisort= 18.498ms (keyed= 0.205ms group_by=  3.907ms per_group= 4.880ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 14.671ms frontier=  3.611ms semisort=  9.504ms (keyed= 0.114ms group_by=  1.939ms per_group= 2.429ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.426ms frontier=  1.734ms semisort=  5.034ms (keyed= 0.057ms group_by=  1.253ms per_group= 1.225ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.628ms frontier=  0.718ms semisort=  2.955ms (keyed= 0.036ms group_by=  0.764ms per_group= 0.616ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  1.837ms frontier=  0.443ms semisort=  1.366ms (keyed= 0.017ms group_by=  0.355ms per_group= 0.280ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.329ms frontier=  0.269ms semisort=  0.577ms (keyed= 0.009ms group_by=  0.150ms per_group= 0.118ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.580ms frontier=  0.215ms semisort=  0.489ms (keyed= 0.006ms group_by=  0.218ms per_group= 0.103ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.233ms frontier=  0.086ms semisort=  0.271ms (keyed= 0.008ms group_by=  0.117ms per_group= 0.061ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.123ms frontier=  0.052ms semisort=  0.154ms (keyed= 0.004ms group_by=  0.054ms per_group= 0.051ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.095ms frontier=  0.024ms semisort=  0.082ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.029ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.036ms frontier=  0.015ms semisort=  0.042ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.012ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.024ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.015ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.008ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
