[synthetic_bench] cube n=80 d=2 classes=2048158 merges=80 ...
[pe] round=  0 work=      160 frontier=  3072000 next=  1024000 consolidate=  0.952ms frontier=  1.051ms semisort= 74.559ms (keyed= 7.037ms group_by= 25.482ms per_group=13.255ms)
[pe] round=  1 work=  1024000 frontier=  1024000 next=   499712 consolidate= 40.365ms frontier=  8.507ms semisort= 34.108ms (keyed= 2.629ms group_by=  8.391ms per_group= 6.347ms)
[pe] round=  2 work=   499712 frontier=   499712 next=   262144 consolidate= 21.599ms frontier=  5.097ms semisort= 15.828ms (keyed= 0.240ms group_by=  3.804ms per_group= 3.419ms)
[pe] round=  3 work=   262144 frontier=   262144 next=   131072 consolidate= 12.768ms frontier=  3.127ms semisort=  8.229ms (keyed= 0.130ms group_by=  2.579ms per_group= 1.568ms)
[pe] round=  4 work=   131072 frontier=   131072 next=    65536 consolidate=  6.729ms frontier=  1.686ms semisort=  4.448ms (keyed= 0.099ms group_by=  1.350ms per_group= 0.986ms)
[pe] round=  5 work=    65536 frontier=    65536 next=    32768 consolidate=  3.296ms frontier=  0.820ms semisort=  2.460ms (keyed= 0.037ms group_by=  0.691ms per_group= 0.538ms)
[pe] round=  6 work=    32768 frontier=    32768 next=    16384 consolidate=  1.801ms frontier=  0.416ms semisort=  1.120ms (keyed= 0.026ms group_by=  0.362ms per_group= 0.230ms)
[pe] round=  7 work=    16384 frontier=    16384 next=     8192 consolidate=  1.275ms frontier=  0.152ms semisort=  0.484ms (keyed= 0.013ms group_by=  0.145ms per_group= 0.109ms)
[pe] round=  8 work=     8192 frontier=     8192 next=     4096 consolidate=  0.635ms frontier=  0.092ms semisort=  0.532ms (keyed= 0.017ms group_by=  0.270ms per_group= 0.107ms)
[pe] round=  9 work=     4096 frontier=     4096 next=     2048 consolidate=  0.238ms frontier=  0.077ms semisort=  0.231ms (keyed= 0.007ms group_by=  0.127ms per_group= 0.030ms)
[pe] round= 10 work=     2048 frontier=     2048 next=     1024 consolidate=  0.126ms frontier=  0.047ms semisort=  0.118ms (keyed= 0.004ms group_by=  0.058ms per_group= 0.019ms)
[pe] round= 11 work=     1024 frontier=     1024 next=      512 consolidate=  0.065ms frontier=  0.024ms semisort=  0.061ms (keyed= 0.002ms group_by=  0.025ms per_group= 0.011ms)
[pe] round= 12 work=      512 frontier=      512 next=      256 consolidate=  0.036ms frontier=  0.015ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.008ms)
[pe] round= 13 work=      256 frontier=      256 next=      128 consolidate=  0.020ms frontier=  0.009ms semisort=  0.020ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.006ms)
[pe] round= 14 work=      128 frontier=      128 next=       64 consolidate=  0.012ms frontier=  0.005ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 15 work=       64 frontier=       64 next=       32 consolidate=  0.008ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=       32 frontier=       32 next=       16 consolidate=  0.006ms frontier=  0.002ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 19 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
