[synthetic_bench] quintic n=20 d=2 classes=12800038 merges=20 ...
[pe-async] round=  0 R=2 dirty=  6400000 groups=  3200000 filter= 12.550ms semisort=183.738ms
[pe-async] round=  1 R=3 dirty=  4194304 groups=  3091456 filter= 19.655ms semisort= 82.751ms
[pe-async] round=  2 R=4 dirty=  2097152 groups=  1048576 filter= 16.281ms semisort= 59.894ms
[pe-async] round=  3 R=5 dirty=  1048576 groups=   524288 filter= 18.567ms semisort= 32.582ms
[pe-async] round=  4 R=6 dirty=   524288 groups=   262144 filter= 21.047ms semisort= 17.334ms
[pe-async] round=  5 R=7 dirty=   262144 groups=   131072 filter= 16.532ms semisort=  9.261ms
[pe-async] round=  6 R=8 dirty=   131072 groups=    65536 filter= 16.289ms semisort=  5.451ms
[pe-async] round=  7 R=9 dirty=    65536 groups=    32768 filter= 16.378ms semisort=  2.935ms
[pe-async] round=  8 R=10 dirty=    32768 groups=    16384 filter= 16.896ms semisort=  1.514ms
[pe-async] round=  9 R=11 dirty=    16384 groups=     8192 filter= 15.930ms semisort=  0.878ms
[pe-async] round= 10 R=12 dirty=     8192 groups=     4096 filter= 15.651ms semisort=  0.982ms
[pe-async] round= 11 R=13 dirty=     4096 groups=     2048 filter= 15.598ms semisort=  0.602ms
[pe-async] round= 12 R=14 dirty=     2048 groups=     1024 filter= 15.688ms semisort=  0.314ms
[pe-async] round= 13 R=15 dirty=     1024 groups=      512 filter= 15.555ms semisort=  0.172ms
[pe-async] round= 14 R=16 dirty=      512 groups=      256 filter= 15.431ms semisort=  0.149ms
[pe-async] round= 15 R=17 dirty=      256 groups=      128 filter= 15.412ms semisort=  0.071ms
[pe-async] round= 16 R=18 dirty=      128 groups=       64 filter= 15.525ms semisort=  0.040ms
[pe-async] round= 17 R=19 dirty=       64 groups=       32 filter= 15.469ms semisort=  0.050ms
[pe-async] round= 18 R=20 dirty=       32 groups=       16 filter= 15.418ms semisort=  0.031ms
[pe-async] round= 19 R=21 dirty=       16 groups=        8 filter= 15.547ms semisort=  0.010ms
[pe-async] round= 20 R=22 dirty=        8 groups=        4 filter= 15.419ms semisort=  0.006ms
[pe-async] round= 21 R=23 dirty=        4 groups=        2 filter= 15.418ms semisort=  0.013ms
[pe-async] round= 22 R=24 dirty=        2 groups=        1 filter= 16.246ms semisort=  0.003ms
[pe-async] round= 23 R=25 dirty=        0 filter= 15.604ms (clean break)
