[synthetic_bench] cube n=100 d=2 classes=4000198 merges=100 ...
[pe] round=  0 work=      200 frontier=  6000000 next=  2000000 consolidate=  1.752ms frontier=  2.114ms semisort=140.190ms (keyed=10.059ms group_by= 47.702ms per_group=26.153ms)
[pe] round=  1 work=  2000000 frontier=  2000000 next=   951424 consolidate= 77.474ms frontier= 14.540ms semisort= 65.239ms (keyed= 4.856ms group_by= 14.773ms per_group=10.884ms)
[pe] round=  2 work=   951424 frontier=   951424 next=   524288 consolidate= 43.076ms frontier= 11.422ms semisort= 30.149ms (keyed= 0.457ms group_by=  6.803ms per_group= 6.450ms)
[pe] round=  3 work=   524288 frontier=   524288 next=   262144 consolidate= 23.948ms frontier=  6.122ms semisort= 15.489ms (keyed= 0.206ms group_by=  3.730ms per_group= 3.472ms)
[pe] round=  4 work=   262144 frontier=   262144 next=   131072 consolidate= 13.120ms frontier=  3.541ms semisort=  8.260ms (keyed= 0.107ms group_by=  2.106ms per_group= 1.846ms)
[pe] round=  5 work=   131072 frontier=   131072 next=    65536 consolidate=  7.163ms frontier=  1.586ms semisort=  4.300ms (keyed= 0.060ms group_by=  1.105ms per_group= 1.036ms)
[pe] round=  6 work=    65536 frontier=    65536 next=    32768 consolidate=  3.486ms frontier=  0.818ms semisort=  2.524ms (keyed= 0.042ms group_by=  0.678ms per_group= 0.521ms)
[pe] round=  7 work=    32768 frontier=    32768 next=    16384 consolidate=  1.775ms frontier=  0.365ms semisort=  1.261ms (keyed= 0.023ms group_by=  0.398ms per_group= 0.223ms)
[pe] round=  8 work=    16384 frontier=    16384 next=     8192 consolidate=  1.371ms frontier=  0.235ms semisort=  0.572ms (keyed= 0.023ms group_by=  0.182ms per_group= 0.124ms)
[pe] round=  9 work=     8192 frontier=     8192 next=     4096 consolidate=  0.692ms frontier=  0.205ms semisort=  0.489ms (keyed= 0.022ms group_by=  0.240ms per_group= 0.082ms)
[pe] round= 10 work=     4096 frontier=     4096 next=     2048 consolidate=  0.230ms frontier=  0.081ms semisort=  0.232ms (keyed= 0.007ms group_by=  0.116ms per_group= 0.031ms)
[pe] round= 11 work=     2048 frontier=     2048 next=     1024 consolidate=  0.128ms frontier=  0.109ms semisort=  0.219ms (keyed= 0.004ms group_by=  0.086ms per_group= 0.023ms)
[pe] round= 12 work=     1024 frontier=     1024 next=      512 consolidate=  0.120ms frontier=  0.024ms semisort=  0.116ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.012ms)
[pe] round= 13 work=      512 frontier=      512 next=      256 consolidate=  0.038ms frontier=  0.013ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.011ms)
[pe] round= 14 work=      256 frontier=      256 next=      128 consolidate=  0.022ms frontier=  0.007ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.006ms)
[pe] round= 15 work=      128 frontier=      128 next=       64 consolidate=  0.013ms frontier=  0.005ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 16 work=       64 frontier=       64 next=       32 consolidate=  0.009ms frontier=  0.003ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 17 work=       32 frontier=       32 next=       16 consolidate=  0.007ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 20 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
