[synthetic_bench] cube n=150 d=2 classes=13500298 merges=150 ...
[pe-async] round=  0 R=2 dirty=  6750000 groups=  3375000 filter= 13.122ms semisort=212.453ms
[pe-async] round=  1 R=3 dirty=  4194304 groups=  2916456 filter= 14.341ms semisort= 89.539ms
[pe-async] round=  2 R=4 dirty=  2097152 groups=  1048576 filter= 18.941ms semisort= 84.757ms
[pe-async] round=  3 R=5 dirty=  1048576 groups=   524288 filter= 14.369ms semisort= 33.446ms
[pe-async] round=  4 R=6 dirty=   524288 groups=   262144 filter= 14.587ms semisort= 16.606ms
[pe-async] round=  5 R=7 dirty=   262144 groups=   131072 filter= 13.982ms semisort=  9.688ms
[pe-async] round=  6 R=8 dirty=   131072 groups=    65536 filter= 13.885ms semisort=  5.388ms
[pe-async] round=  7 R=9 dirty=    65536 groups=    32768 filter= 14.932ms semisort=  4.078ms
[pe-async] round=  8 R=10 dirty=    32768 groups=    16384 filter= 18.108ms semisort=  1.990ms
[pe-async] round=  9 R=11 dirty=    16384 groups=     8192 filter= 14.932ms semisort=  1.171ms
[pe-async] round= 10 R=12 dirty=     8192 groups=     4096 filter= 22.676ms semisort=  0.992ms
[pe-async] round= 11 R=13 dirty=     4096 groups=     2048 filter= 73.423ms semisort=  3.567ms
[pe-async] round= 12 R=14 dirty=     2048 groups=     1024 filter= 31.401ms semisort=  0.453ms
[pe-async] round= 13 R=15 dirty=     1024 groups=      512 filter= 21.750ms semisort=  0.205ms
[pe-async] round= 14 R=16 dirty=      512 groups=      256 filter= 13.264ms semisort=  0.111ms
[pe-async] round= 15 R=17 dirty=      256 groups=      128 filter= 15.366ms semisort=  0.071ms
[pe-async] round= 16 R=18 dirty=      128 groups=       64 filter= 14.049ms semisort=  0.061ms
[pe-async] round= 17 R=19 dirty=       64 groups=       32 filter= 14.679ms semisort=  0.027ms
[pe-async] round= 18 R=20 dirty=       32 groups=       16 filter= 12.926ms semisort=  0.035ms
[pe-async] round= 19 R=21 dirty=       16 groups=        8 filter= 13.401ms semisort=  0.068ms
[pe-async] round= 20 R=22 dirty=        8 groups=        4 filter= 13.172ms semisort=  0.007ms
[pe-async] round= 21 R=23 dirty=        4 groups=        2 filter= 12.573ms semisort=  0.014ms
[pe-async] round= 22 R=24 dirty=        2 groups=        1 filter= 12.718ms semisort=  0.017ms
[pe-async] round= 23 R=25 dirty=        0 filter= 14.169ms (clean break)
