[synthetic_bench] cube n=150 d=2 classes=13500298 merges=150 ...
[pe] round=  0 work=      300 frontier= 20250000 next=  6750000 consolidate=  4.860ms frontier=  7.965ms semisort=938.514ms (keyed=144.715ms group_by=473.768ms per_group=121.554ms)
[pe] round=  1 work=  6750000 frontier=  6750000 next=  2555696 consolidate=338.747ms frontier= 69.209ms semisort=371.350ms (keyed=27.558ms group_by=114.753ms per_group=47.129ms)
[pe] round=  2 work=  2555696 frontier=  2555696 next=  2097152 consolidate=181.535ms frontier= 37.734ms semisort=133.591ms (keyed= 1.030ms group_by= 39.453ms per_group=33.607ms)
[pe] round=  3 work=  2097152 frontier=  2097152 next=  1048576 consolidate=102.309ms frontier= 31.481ms semisort=183.736ms (keyed= 2.293ms group_by= 55.992ms per_group=39.429ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 75.156ms frontier= 18.953ms semisort= 52.973ms (keyed= 0.798ms group_by=  7.606ms per_group=11.063ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate= 32.720ms frontier=  8.779ms semisort= 20.056ms (keyed= 0.209ms group_by=  4.237ms per_group= 5.036ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate= 15.009ms frontier=  4.060ms semisort= 10.508ms (keyed= 0.109ms group_by=  2.195ms per_group= 2.564ms)
[pe] round=  7 work=   131072 frontier=   131072 next=    65536 consolidate=  7.553ms frontier=  1.867ms semisort=  5.419ms (keyed= 0.060ms group_by=  1.305ms per_group= 1.292ms)
[pe] round=  8 work=    65536 frontier=    65536 next=    32768 consolidate=  3.538ms frontier=  0.749ms semisort=  2.576ms (keyed= 0.038ms group_by=  0.771ms per_group= 0.588ms)
[pe] round=  9 work=    32768 frontier=    32768 next=    16384 consolidate=  2.030ms frontier=  0.513ms semisort=  1.476ms (keyed= 0.020ms group_by=  0.471ms per_group= 0.284ms)
[pe] round= 10 work=    16384 frontier=    16384 next=     8192 consolidate=  1.541ms frontier=  0.256ms semisort=  0.672ms (keyed= 0.014ms group_by=  0.177ms per_group= 0.135ms)
[pe] round= 11 work=     8192 frontier=     8192 next=     4096 consolidate=  0.638ms frontier=  0.176ms semisort=  0.532ms (keyed= 0.011ms group_by=  0.236ms per_group= 0.122ms)
[pe] round= 12 work=     4096 frontier=     4096 next=     2048 consolidate=  0.279ms frontier=  0.200ms semisort=  0.280ms (keyed= 0.007ms group_by=  0.127ms per_group= 0.036ms)
[pe] round= 13 work=     2048 frontier=     2048 next=     1024 consolidate=  0.157ms frontier=  0.053ms semisort=  0.178ms (keyed= 0.004ms group_by=  0.054ms per_group= 0.021ms)
[pe] round= 14 work=     1024 frontier=     1024 next=      512 consolidate=  0.093ms frontier=  0.026ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.026ms)
[pe] round= 15 work=      512 frontier=      512 next=      256 consolidate=  0.047ms frontier=  0.014ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.010ms)
[pe] round= 16 work=      256 frontier=      256 next=      128 consolidate=  0.035ms frontier=  0.008ms semisort=  0.022ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 17 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 18 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.008ms)
[pe] round= 19 work=       32 frontier=       32 next=       16 consolidate=  0.008ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 21 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
