[synthetic_bench] quartic n=50 d=2 classes=25000098 merges=50 ...
[pe-async] round=  0 R=2 dirty= 12500000 groups=  6250000 filter= 21.270ms semisort=380.059ms
[pe-async] round=  1 R=3 dirty=  8305696 groups=  6208544 filter= 40.570ms semisort=239.886ms
[pe-async] round=  2 R=4 dirty=  4194304 groups=  2138608 filter= 41.225ms semisort=145.685ms
[pe-async] round=  3 R=5 dirty=  2097152 groups=  1048576 filter= 44.650ms semisort= 64.934ms
[pe-async] round=  4 R=6 dirty=  1048576 groups=   524288 filter= 28.385ms semisort= 33.983ms
[pe-async] round=  5 R=7 dirty=   524288 groups=   262144 filter= 31.262ms semisort= 23.925ms
[pe-async] round=  6 R=8 dirty=   262144 groups=   131072 filter= 33.301ms semisort= 12.566ms
[pe-async] round=  7 R=9 dirty=   131072 groups=    65536 filter= 34.482ms semisort=  6.280ms
[pe-async] round=  8 R=10 dirty=    65536 groups=    32768 filter= 31.147ms semisort=  3.747ms
[pe-async] round=  9 R=11 dirty=    32768 groups=    16384 filter= 29.804ms semisort=  1.880ms
[pe-async] round= 10 R=12 dirty=    16384 groups=     8192 filter= 29.194ms semisort=  1.080ms
[pe-async] round= 11 R=13 dirty=     8192 groups=     4096 filter= 27.314ms semisort=  1.262ms
[pe-async] round= 12 R=14 dirty=     4096 groups=     2048 filter= 56.274ms semisort=  1.992ms
[pe-async] round= 13 R=15 dirty=     2048 groups=     1024 filter= 37.837ms semisort=  0.446ms
[pe-async] round= 14 R=16 dirty=     1024 groups=      512 filter= 30.730ms semisort=  0.262ms
[pe-async] round= 15 R=17 dirty=      512 groups=      256 filter= 29.524ms semisort=  0.197ms
[pe-async] round= 16 R=18 dirty=      256 groups=      128 filter= 30.398ms semisort=  0.064ms
[pe-async] round= 17 R=19 dirty=      128 groups=       64 filter= 28.298ms semisort=  0.047ms
[pe-async] round= 18 R=20 dirty=       64 groups=       32 filter= 28.765ms semisort=  0.026ms
[pe-async] round= 19 R=21 dirty=       32 groups=       16 filter= 29.215ms semisort=  0.080ms
[pe-async] round= 20 R=22 dirty=       16 groups=        8 filter= 29.279ms semisort=  0.013ms
[pe-async] round= 21 R=23 dirty=        8 groups=        4 filter= 27.772ms semisort=  0.007ms
[pe-async] round= 22 R=24 dirty=        4 groups=        2 filter= 28.164ms semisort=  0.015ms
[pe-async] round= 23 R=25 dirty=        2 groups=        1 filter= 29.238ms semisort=  0.005ms
[pe-async] round= 24 R=26 dirty=        0 filter= 28.571ms (clean break)
