[synthetic_bench] quartic n=50 d=2 classes=25000098 merges=50 ...
[pe] round=  0 work=      100 frontier= 50000000 next= 12500000 consolidate=  8.598ms frontier= 13.091ms semisort=3093.773ms (keyed=441.170ms group_by=1466.268ms per_group=489.411ms)
[pe] round=  1 work= 12500000 frontier= 12500000 next=  4194304 consolidate=665.214ms frontier=116.485ms semisort=755.783ms (keyed=65.236ms group_by=243.046ms per_group=107.304ms)
[pe] round=  2 work=  4194304 frontier=  4194304 next=  4111392 consolidate=343.893ms frontier= 52.250ms semisort=291.241ms (keyed= 4.150ms group_by= 93.053ms per_group=74.045ms)
[pe] round=  3 work=  4111392 frontier=  4111392 next=  2097152 consolidate=276.386ms frontier= 65.949ms semisort=230.674ms (keyed=22.639ms group_by= 59.572ms per_group=45.245ms)
[pe] round=  4 work=  2097152 frontier=  2097152 next=  1048576 consolidate=131.995ms frontier= 33.579ms semisort= 79.384ms (keyed= 0.856ms group_by= 16.834ms per_group=22.033ms)
[pe] round=  5 work=  1048576 frontier=  1048576 next=   524288 consolidate= 64.421ms frontier= 16.582ms semisort= 46.659ms (keyed= 0.534ms group_by= 11.359ms per_group=13.099ms)
[pe] round=  6 work=   524288 frontier=   524288 next=   262144 consolidate= 33.976ms frontier=  8.168ms semisort= 25.070ms (keyed= 0.256ms group_by=  7.588ms per_group= 6.088ms)
[pe] round=  7 work=   262144 frontier=   262144 next=   131072 consolidate= 16.466ms frontier=  4.098ms semisort= 10.940ms (keyed= 0.115ms group_by=  2.313ms per_group= 2.886ms)
[pe] round=  8 work=   131072 frontier=   131072 next=    65536 consolidate=  8.060ms frontier=  1.743ms semisort=  5.626ms (keyed= 0.060ms group_by=  1.593ms per_group= 1.278ms)
[pe] round=  9 work=    65536 frontier=    65536 next=    32768 consolidate=  3.983ms frontier=  0.699ms semisort=  3.710ms (keyed= 0.036ms group_by=  1.628ms per_group= 0.633ms)
[pe] round= 10 work=    32768 frontier=    32768 next=    16384 consolidate=  2.162ms frontier=  0.353ms semisort=  1.483ms (keyed= 0.026ms group_by=  0.424ms per_group= 0.334ms)
[pe] round= 11 work=    16384 frontier=    16384 next=     8192 consolidate=  1.693ms frontier=  0.253ms semisort=  0.834ms (keyed= 0.023ms group_by=  0.202ms per_group= 0.198ms)
[pe] round= 12 work=     8192 frontier=     8192 next=     4096 consolidate=  0.649ms frontier=  0.129ms semisort=  0.551ms (keyed= 0.025ms group_by=  0.295ms per_group= 0.095ms)
[pe] round= 13 work=     4096 frontier=     4096 next=     2048 consolidate=  0.283ms frontier=  0.109ms semisort=  0.295ms (keyed= 0.006ms group_by=  0.115ms per_group= 0.050ms)
[pe] round= 14 work=     2048 frontier=     2048 next=     1024 consolidate=  0.126ms frontier=  0.034ms semisort=  0.119ms (keyed= 0.004ms group_by=  0.059ms per_group= 0.019ms)
[pe] round= 15 work=     1024 frontier=     1024 next=      512 consolidate=  0.081ms frontier=  0.026ms semisort=  0.068ms (keyed= 0.002ms group_by=  0.026ms per_group= 0.014ms)
[pe] round= 16 work=      512 frontier=      512 next=      256 consolidate=  0.064ms frontier=  0.014ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.011ms)
[pe] round= 17 work=      256 frontier=      256 next=      128 consolidate=  0.026ms frontier=  0.007ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.005ms)
[pe] round= 18 work=      128 frontier=      128 next=       64 consolidate=  0.014ms frontier=  0.004ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 19 work=       64 frontier=       64 next=       32 consolidate=  0.010ms frontier=  0.003ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 20 work=       32 frontier=       32 next=       16 consolidate=  0.009ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.004ms)
[pe] round= 21 work=       16 frontier=       16 next=        8 consolidate=  0.004ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        8 frontier=        8 next=        4 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        4 frontier=        4 next=        2 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        2 frontier=        0 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.000ms (break)
