family       n  thr |     nelson    nl_topo nl_topo_it  par_close par_topo_it  par_async | topo/async  topo_it_spd
------------------------------------------------------------------------------------------------------------------
chain     3000    1 |       0.21       0.14       0.32       4.12        8.03      49.81 |      0.16x        0.04x
chain     3000    4 |       0.24       0.18       0.35       4.54        8.87      31.65 |      0.28x        0.04x
chain     3000    8 |       0.24       0.16       0.33       4.30        8.37      40.28 |      0.21x        0.04x

chain     6000    1 |       0.47       0.28       0.66       8.07       15.92     193.36 |      0.08x        0.04x
chain     6000    4 |       0.52       0.32       0.76       9.32       16.91      79.80 |      0.21x        0.05x
chain     6000    8 |       0.48       0.30       0.69       8.71       16.50     150.48 |      0.11x        0.04x

cube        80    1 |     643.28     150.10     262.31    1384.75      152.20     423.68 |      0.36x        1.72x
cube        80    4 |     622.04     172.97     261.05     367.82       55.53     124.00 |      0.45x        4.70x
cube        80    8 |     618.53     160.93     254.05     245.98       67.93      92.25 |      0.74x        3.74x

cube       120    1 |    2768.33     623.59    1096.44    6197.55      579.05    1698.72 |      0.34x        1.89x
cube       120    4 |    3046.27     743.08    1258.65    1991.01      185.45     517.55 |      0.36x        6.79x
cube       120    8 |    2745.43     615.85    1136.13    1601.68      235.37     419.44 |      0.56x        4.83x

cube       145    1 |    5615.89    1324.93    2230.30   11253.24     1057.76    3327.22 |      0.32x        2.11x
cube       145    4 |    5239.39    1115.64    2021.41    3406.59      407.73    1037.11 |      0.39x        4.96x
cube       145    8 |    5423.54    1132.29    2030.64    2110.21      379.64     723.03 |      0.53x        5.35x

grid       120    1 |       8.20       1.72       3.04      22.43        3.48       7.79 |      0.45x        0.88x
grid       120    4 |       6.15       1.61       3.28       8.95        3.17       3.12 |      1.02x        1.03x
grid       120    8 |       6.17       1.53       3.06       7.86        3.39       3.28 |      1.03x        0.90x

grid       175    1 |      13.69       3.63       6.15      48.95        7.61      17.35 |      0.44x        0.81x
grid       175    4 |      14.19       3.78       6.88      16.82        6.54       6.06 |      1.08x        1.05x
grid       175    8 |      13.40       3.61       6.38      13.48        7.48       5.63 |      1.33x        0.85x

quartic     25    1 |     541.82     137.01     214.59    1066.88      128.73     390.23 |      0.33x        1.67x
quartic     25    4 |     498.20     117.33     160.07     308.27       45.06     121.37 |      0.37x        3.55x
quartic     25    8 |     519.82     130.95     167.19     187.68       54.00      81.56 |      0.66x        3.10x

quartic     45    1 |    9057.59    2365.05    3872.63   17066.74     1501.01    5353.81 |      0.28x        2.58x
quartic     45    4 |    8184.52    1865.05    3480.77    6040.68      473.21    1474.92 |      0.32x        7.36x
quartic     45    8 |    7894.39    1940.03    3590.45    4224.66      514.58    1139.36 |      0.45x        6.98x

quintic     12    1 |     231.34      79.76     126.92     611.13       78.18     234.92 |      0.33x        1.62x
quintic     12    4 |     259.46      70.76     126.76     191.63       30.53      69.12 |      0.44x        4.15x
quintic     12    8 |     247.33      83.87     126.73     116.94       36.42      48.68 |      0.75x        3.48x

quintic     18    1 |    3170.92     844.03    1561.03    6101.89      642.52    2317.50 |      0.28x        2.43x
quintic     18    4 |    3196.53     831.43    1518.18    2093.31      213.02     662.38 |      0.32x        7.13x
quintic     18    8 |    3692.90     835.84    1525.08    1670.36      243.83     441.02 |      0.55x        6.25x
