file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.0.ground.smt2,,nelson_topo_iter,1,0,unsat,0.020699,0.000670,0.004150,0.006020,0.000140,0.000000,0.000050,
arrays-ops.0.ground.smt2,,nelson_simple,1,0,unsat,0.017528,0.000650,0.003540,0.004430,0.000130,0.000000,0.000040,
arrays-ops.0.ground.smt2,,par_async,1,0,unsat,0.019089,0.000600,0.003590,0.007060,0.000460,0.000000,0.000050,
arrays-ops.0.ground.smt2,,par_async,2,0,unsat,0.017497,0.000650,0.003600,0.005710,0.000200,0.000000,0.000040,
arrays-ops.0.ground.smt2,,par_async,4,0,unsat,0.015954,0.000530,0.003550,0.004340,0.000230,0.000000,0.000100,
arrays-ops.0.ground.smt2,,par_async,8,0,unsat,0.010108,0.000310,0.001660,0.003310,0.000220,0.000000,0.000030,
arrays-ops.0.ground.smt2,,par_async,16,0,unsat,0.016580,0.000600,0.003370,0.005500,0.000260,0.000000,0.000050,
arrays-ops.0.ground.smt2,,par_async,32,0,unsat,0.011260,0.000260,0.001580,0.004260,0.000230,0.000000,0.000060,
arrays-ops.0.ground.smt2,,par_async,64,0,unsat,0.024701,0.000540,0.001750,0.012520,0.001350,0.000000,0.001320,
arrays-ops.0.ground.smt2,,par_async,128,0,unsat,0.028362,0.000230,0.001430,0.019830,0.000540,0.000000,0.000110,
arrays-ops.0.ground.smt2,,par_async,144,0,unsat,0.026736,0.000370,0.001780,0.013580,0.001430,0.000000,0.000390,
arrays-ops.1.ground.smt2,,nelson_topo_iter,1,0,unsat,0.013119,0.000400,0.001700,0.003920,0.000060,0.000000,0.000020,
arrays-ops.1.ground.smt2,,nelson_simple,1,0,unsat,0.013571,0.000420,0.001580,0.004070,0.000090,0.000000,0.000030,
arrays-ops.1.ground.smt2,,par_async,1,0,unsat,0.013554,0.000350,0.001440,0.004730,0.000240,0.000000,0.000040,
arrays-ops.1.ground.smt2,,par_async,2,0,unsat,0.014159,0.000410,0.001850,0.004900,0.000120,0.000000,0.000040,
arrays-ops.1.ground.smt2,,par_async,4,0,unsat,0.013976,0.000330,0.001370,0.004920,0.000230,0.000000,0.000040,
arrays-ops.1.ground.smt2,,par_async,8,0,unsat,0.012938,0.000420,0.001340,0.003970,0.000150,0.000000,0.000030,
arrays-ops.1.ground.smt2,,par_async,16,0,unsat,0.012848,0.000350,0.001680,0.003820,0.000150,0.000000,0.000030,
arrays-ops.1.ground.smt2,,par_async,32,0,unsat,0.013160,0.000250,0.000920,0.005200,0.000160,0.000000,0.000030,
arrays-ops.1.ground.smt2,,par_async,64,0,unsat,0.022484,0.000370,0.001630,0.009860,0.001180,0.000000,0.000080,
arrays-ops.1.ground.smt2,,par_async,128,0,unsat,0.039279,0.000450,0.001770,0.023530,0.000530,0.000000,0.000080,
arrays-ops.1.ground.smt2,,par_async,144,0,unsat,0.031465,0.000210,0.000900,0.018370,0.000520,0.000000,0.000300,
arrays-ops.2.ground.smt2,,nelson_topo_iter,1,0,unsat,0.014386,0.000430,0.001790,0.004510,0.000160,0.000000,0.000040,
arrays-ops.2.ground.smt2,,nelson_simple,1,0,unsat,0.008491,0.000250,0.001400,0.002600,0.000110,0.000000,0.000030,
arrays-ops.2.ground.smt2,,par_async,1,0,unsat,0.015750,0.000630,0.003500,0.004350,0.000210,0.000000,0.000030,
arrays-ops.2.ground.smt2,,par_async,2,0,unsat,0.019049,0.000620,0.003420,0.007340,0.000370,0.000000,0.000040,
arrays-ops.2.ground.smt2,,par_async,4,0,unsat,0.016401,0.000440,0.002340,0.005450,0.000340,0.000000,0.000040,
arrays-ops.2.ground.smt2,,par_async,8,0,unsat,0.018035,0.000600,0.003670,0.005980,0.000270,0.000000,0.000040,
arrays-ops.2.ground.smt2,,par_async,16,0,unsat,0.016247,0.000530,0.003240,0.005750,0.000260,0.000000,0.000050,
arrays-ops.2.ground.smt2,,par_async,32,0,unsat,0.018425,0.000530,0.003220,0.007590,0.000270,0.000000,0.000070,
arrays-ops.2.ground.smt2,,par_async,64,0,unsat,0.023442,0.000450,0.002620,0.012280,0.000470,0.000000,0.000680,
arrays-ops.2.ground.smt2,,par_async,128,0,unsat,0.030190,0.000440,0.002150,0.019000,0.001110,0.000000,0.000060,
arrays-ops.2.ground.smt2,,par_async,144,0,unsat,0.032671,0.000380,0.002180,0.021350,0.000610,0.000000,0.000170,
arrays-ops.3.ground.smt2,,nelson_topo_iter,1,0,unsat,0.011884,0.000370,0.002060,0.004540,0.000140,0.000000,0.000050,
arrays-ops.3.ground.smt2,,nelson_simple,1,0,unsat,0.016097,0.000640,0.003260,0.004900,0.000170,0.000000,0.000050,
arrays-ops.3.ground.smt2,,par_async,1,0,unsat,0.012547,0.000300,0.002260,0.004760,0.000290,0.000000,0.000040,
arrays-ops.3.ground.smt2,,par_async,2,0,unsat,0.017202,0.000620,0.003960,0.005010,0.000300,0.000000,0.000100,
arrays-ops.3.ground.smt2,,par_async,4,0,unsat,0.017524,0.000580,0.003400,0.006170,0.000300,0.000000,0.000170,
arrays-ops.3.ground.smt2,,par_async,8,0,unsat,0.014728,0.000530,0.002610,0.003850,0.000300,0.000000,0.000210,
