workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_topo_iter,0,1,16,2.8191
small,1000,4,10000,2000,1,nelson_simple,0,1,16,2.2215
small,1000,4,10000,2000,1,par_async,0,1,16,2.0078
medium,10000,8,200000,20000,1,nelson_topo_iter,0,1,16,120.2258
medium,10000,8,200000,20000,1,nelson_simple,0,1,16,74.7088
medium,10000,8,200000,20000,1,par_async,0,1,16,60.2497
large,50000,16,1000000,100000,1,nelson_topo_iter,0,1,16,452.4520
large,50000,16,1000000,100000,1,nelson_simple,0,1,16,385.8763
large,50000,16,1000000,100000,1,par_async,0,1,16,374.0951
deep-s,1000,4,10000,2000,3,nelson_topo_iter,0,1,16,1.7775
deep-s,1000,4,10000,2000,3,nelson_simple,0,1,16,1.9710
deep-s,1000,4,10000,2000,3,par_async,0,1,16,2.0436
deep-m,10000,8,200000,20000,3,nelson_topo_iter,0,1,16,54.7065
deep-m,10000,8,200000,20000,3,nelson_simple,0,1,16,59.2917
deep-m,10000,8,200000,20000,3,par_async,0,1,16,49.1903
deep-l,50000,16,1000000,100000,3,nelson_topo_iter,0,1,16,492.5229
deep-l,50000,16,1000000,100000,3,nelson_simple,0,1,16,522.7255
deep-l,50000,16,1000000,100000,3,par_async,0,1,16,606.7008
small,1000,4,10000,2000,1,par_async,0,2,16,2.8317
medium,10000,8,200000,20000,1,par_async,0,2,16,25.5667
large,50000,16,1000000,100000,1,par_async,0,2,16,170.5224
deep-s,1000,4,10000,2000,3,par_async,0,2,16,1.8339
deep-m,10000,8,200000,20000,3,par_async,0,2,16,37.3736
deep-l,50000,16,1000000,100000,3,par_async,0,2,16,310.5665
small,1000,4,10000,2000,1,par_async,0,4,16,2.4384
medium,10000,8,200000,20000,1,par_async,0,4,16,13.8009
large,50000,16,1000000,100000,1,par_async,0,4,16,109.9737
deep-s,1000,4,10000,2000,3,par_async,0,4,16,2.5664
deep-m,10000,8,200000,20000,3,par_async,0,4,16,48.1016
deep-l,50000,16,1000000,100000,3,par_async,0,4,16,183.7175
small,1000,4,10000,2000,1,par_async,0,8,16,2.4124
medium,10000,8,200000,20000,1,par_async,0,8,16,9.4012
large,50000,16,1000000,100000,1,par_async,0,8,16,59.6624
deep-s,1000,4,10000,2000,3,par_async,0,8,16,1.3300
deep-m,10000,8,200000,20000,3,par_async,0,8,16,21.1887
deep-l,50000,16,1000000,100000,3,par_async,0,8,16,93.0606
small,1000,4,10000,2000,1,par_async,0,16,16,2.8833
medium,10000,8,200000,20000,1,par_async,0,16,16,4.9443
large,50000,16,1000000,100000,1,par_async,0,16,16,28.0931
deep-s,1000,4,10000,2000,3,par_async,0,16,16,1.0897
deep-m,10000,8,200000,20000,3,par_async,0,16,16,28.5862
deep-l,50000,16,1000000,100000,3,par_async,0,16,16,40.6991
small,1000,4,10000,2000,1,par_async,0,32,16,2.1726
medium,10000,8,200000,20000,1,par_async,0,32,16,4.6940
large,50000,16,1000000,100000,1,par_async,0,32,16,18.6347
deep-s,1000,4,10000,2000,3,par_async,0,32,16,1.1357
deep-m,10000,8,200000,20000,3,par_async,0,32,16,17.0334
deep-l,50000,16,1000000,100000,3,par_async,0,32,16,28.8711
small,1000,4,10000,2000,1,par_async,0,64,16,2.7057
medium,10000,8,200000,20000,1,par_async,0,64,16,7.6555
large,50000,16,1000000,100000,1,par_async,0,64,16,15.2246
deep-s,1000,4,10000,2000,3,par_async,0,64,16,1.7428
deep-m,10000,8,200000,20000,3,par_async,0,64,16,19.6449
deep-l,50000,16,1000000,100000,3,par_async,0,64,16,20.2776
small,1000,4,10000,2000,1,par_async,0,128,16,2.7245
medium,10000,8,200000,20000,1,par_async,0,128,16,9.5720
large,50000,16,1000000,100000,1,par_async,0,128,16,14.0419
deep-s,1000,4,10000,2000,3,par_async,0,128,16,1.8778
deep-m,10000,8,200000,20000,3,par_async,0,128,16,19.9669
deep-l,50000,16,1000000,100000,3,par_async,0,128,16,15.1655
small,1000,4,10000,2000,1,par_async,0,144,16,7.9671
medium,10000,8,200000,20000,1,par_async,0,144,16,11.0386
large,50000,16,1000000,100000,1,par_async,0,144,16,14.6613
deep-s,1000,4,10000,2000,3,par_async,0,144,16,1.7412
deep-m,10000,8,200000,20000,3,par_async,0,144,16,19.0143
deep-l,50000,16,1000000,100000,3,par_async,0,144,16,15.0502
