family,n,d,classes,merges,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
chain,3000,2,6002,1,nelson_topo_iter,0,1,16,0.8773
chain,3000,2,6002,1,par_async,0,1,16,198.9532
chain,3000,2,6002,1,par_async,0,2,16,107.9695
chain,3000,2,6002,1,par_async,0,4,16,80.1723
chain,3000,2,6002,1,par_async,0,8,16,58.8548
chain,3000,2,6002,1,par_async,0,16,16,60.5617
chain,3000,2,6002,1,par_async,0,32,16,89.4235
chain,3000,2,6002,1,par_async,0,64,16,140.6380
chain,3000,2,6002,1,par_async,0,128,16,144.3599
chain,3000,2,6002,1,par_async,0,144,16,158.5503
chain,6000,2,12002,1,nelson_topo_iter,0,1,16,1.7184
chain,6000,2,12002,1,par_async,0,1,16,595.8226
chain,6000,2,12002,1,par_async,0,2,16,471.3947
chain,6000,2,12002,1,par_async,0,4,16,253.7448
chain,6000,2,12002,1,par_async,0,8,16,181.4746
chain,6000,2,12002,1,par_async,0,16,16,187.2188
chain,6000,2,12002,1,par_async,0,32,16,200.5909
chain,6000,2,12002,1,par_async,0,64,16,270.4643
chain,6000,2,12002,1,par_async,0,128,16,334.2071
chain,6000,2,12002,1,par_async,0,144,16,329.5049
grid,120,2,57838,120,nelson_topo_iter,0,1,16,10.5149
grid,120,2,57838,120,par_async,0,1,16,20.3417
grid,120,2,57838,120,par_async,0,2,16,17.3446
grid,120,2,57838,120,par_async,0,4,16,12.8142
grid,120,2,57838,120,par_async,0,8,16,9.4206
grid,120,2,57838,120,par_async,0,16,16,7.6925
grid,120,2,57838,120,par_async,0,32,16,7.1908
grid,120,2,57838,120,par_async,0,64,16,9.4458
grid,120,2,57838,120,par_async,0,128,16,10.3425
grid,120,2,57838,120,par_async,0,144,16,10.5651
grid,175,2,122848,175,nelson_topo_iter,0,1,16,22.5761
grid,175,2,122848,175,par_async,0,1,16,43.7921
grid,175,2,122848,175,par_async,0,2,16,34.4783
grid,175,2,122848,175,par_async,0,4,16,25.1769
grid,175,2,122848,175,par_async,0,8,16,18.8179
grid,175,2,122848,175,par_async,0,16,16,15.0761
grid,175,2,122848,175,par_async,0,32,16,15.8423
grid,175,2,122848,175,par_async,0,64,16,18.7265
grid,175,2,122848,175,par_async,0,128,16,18.4838
grid,175,2,122848,175,par_async,0,144,16,18.1265
cube,80,2,2048158,80,nelson_topo_iter,0,1,16,1213.4664
cube,80,2,2048158,80,par_async,0,1,16,1810.0160
cube,80,2,2048158,80,par_async,0,2,16,1004.8608
cube,80,2,2048158,80,par_async,0,4,16,504.6628
cube,80,2,2048158,80,par_async,0,8,16,323.8455
cube,80,2,2048158,80,par_async,0,16,16,177.4771
cube,80,2,2048158,80,par_async,0,32,16,159.7675
cube,80,2,2048158,80,par_async,0,64,16,102.1523
cube,80,2,2048158,80,par_async,0,128,16,86.5120
cube,80,2,2048158,80,par_async,0,144,16,87.2061
cube,120,2,6912238,120,nelson_topo_iter,0,1,16,4918.0724
cube,120,2,6912238,120,par_async,0,1,16,6798.9684
cube,120,2,6912238,120,par_async,0,2,16,3413.7126
cube,120,2,6912238,120,par_async,0,4,16,1836.5277
cube,120,2,6912238,120,par_async,0,8,16,941.4056
cube,120,2,6912238,120,par_async,0,16,16,605.6018
cube,120,2,6912238,120,par_async,0,32,16,558.9529
cube,120,2,6912238,120,par_async,0,64,16,319.5527
cube,120,2,6912238,120,par_async,0,128,16,280.4149
cube,120,2,6912238,120,par_async,0,144,16,278.2175
cube,145,2,12194788,145,nelson_topo_iter,0,1,16,8808.7189
cube,145,2,12194788,145,par_async,0,1,16,12590.0493
cube,145,2,12194788,145,par_async,0,2,16,6343.2420
cube,145,2,12194788,145,par_async,0,4,16,3421.4406
cube,145,2,12194788,145,par_async,0,8,16,1667.4713
cube,145,2,12194788,145,par_async,0,16,16,1047.7904
cube,145,2,12194788,145,par_async,0,32,16,912.4112
cube,145,2,12194788,145,par_async,0,64,16,566.5787
cube,145,2,12194788,145,par_async,0,128,16,479.2158
cube,145,2,12194788,145,par_async,0,144,16,489.4632
quartic,25,2,1562548,25,nelson_topo_iter,0,1,16,807.3700
quartic,25,2,1562548,25,par_async,0,1,16,1456.4085
quartic,25,2,1562548,25,par_async,0,2,16,773.6830
quartic,25,2,1562548,25,par_async,0,4,16,454.9086
quartic,25,2,1562548,25,par_async,0,8,16,273.6961
quartic,25,2,1562548,25,par_async,0,16,16,148.4049
quartic,25,2,1562548,25,par_async,0,32,16,127.2291
quartic,25,2,1562548,25,par_async,0,64,16,84.1424
quartic,25,2,1562548,25,par_async,0,128,16,73.4861
quartic,25,2,1562548,25,par_async,0,144,16,74.0942
quartic,45,2,16402588,45,nelson_topo_iter,0,1,16,11983.2195
quartic,45,2,16402588,45,par_async,0,1,16,17189.9277
quartic,45,2,16402588,45,par_async,0,2,16,8697.9504
quartic,45,2,16402588,45,par_async,0,4,16,4705.7187
quartic,45,2,16402588,45,par_async,0,8,16,2264.9525
quartic,45,2,16402588,45,par_async,0,16,16,1378.2098
quartic,45,2,16402588,45,par_async,0,32,16,1294.4513
quartic,45,2,16402588,45,par_async,0,64,16,738.9003
quartic,45,2,16402588,45,par_async,0,128,16,633.1018
quartic,45,2,16402588,45,par_async,0,144,16,619.6403
quintic,12,2,995350,12,nelson_topo_iter,0,1,16,468.0374
quintic,12,2,995350,12,par_async,0,1,16,868.4263
quintic,12,2,995350,12,par_async,0,2,16,571.9355
quintic,12,2,995350,12,par_async,0,4,16,288.2200
quintic,12,2,995350,12,par_async,0,8,16,170.6057
quintic,12,2,995350,12,par_async,0,16,16,91.9526
quintic,12,2,995350,12,par_async,0,32,16,79.8131
quintic,12,2,995350,12,par_async,0,64,16,59.8766
quintic,12,2,995350,12,par_async,0,128,16,50.9486
quintic,12,2,995350,12,par_async,0,144,16,51.6720
quintic,18,2,7558306,18,nelson_topo_iter,0,1,16,5715.3104
quintic,18,2,7558306,18,par_async,0,1,16,8114.8625
quintic,18,2,7558306,18,par_async,0,2,16,4051.3209
quintic,18,2,7558306,18,par_async,0,4,16,2193.9018
quintic,18,2,7558306,18,par_async,0,8,16,1130.2946
quintic,18,2,7558306,18,par_async,0,16,16,683.7714
quintic,18,2,7558306,18,par_async,0,32,16,623.1780
quintic,18,2,7558306,18,par_async,0,64,16,395.1254
quintic,18,2,7558306,18,par_async,0,128,16,334.8963
quintic,18,2,7558306,18,par_async,0,144,16,331.1733
mixed_depth,30,2,108058,60,nelson_topo_iter,0,1,16,33.0269
mixed_depth,30,2,108058,60,par_async,0,1,16,58.5140
mixed_depth,30,2,108058,60,par_async,0,2,16,48.3714
