[synthetic_bench] cube n=130 d=2 classes=8788258 merges=130 ...
[pe] round=  0 work=      260 frontier=  4394000 next=  2197000 consolidate=  5.216ms frontier= 13.957ms semisort= 36.234ms (keyed= 9.304ms group_by=  1.318ms per_group=10.401ms)
[pe] round=  1 work=  2197000 frontier=  2296848 next=  1048576 consolidate= 34.267ms frontier=  6.385ms semisort= 16.019ms (keyed= 1.819ms group_by=  0.650ms per_group= 5.360ms)
[pe] round=  2 work=  1048576 frontier=  1248272 next=   524288 consolidate= 19.756ms frontier=  6.343ms semisort=  7.912ms (keyed= 1.551ms group_by=  0.167ms per_group= 2.698ms)
[pe] round=  3 work=   524288 frontier=   723984 next=   262144 consolidate= 12.451ms frontier=  5.107ms semisort=  5.072ms (keyed= 1.361ms group_by=  0.143ms per_group= 1.470ms)
[pe] round=  4 work=   262144 frontier=   461840 next=   131072 consolidate=  5.564ms frontier=  2.696ms semisort=  3.184ms (keyed= 0.827ms group_by=  0.112ms per_group= 1.001ms)
[pe] round=  5 work=   131072 frontier=   262144 next=    99848 consolidate=  2.857ms frontier=  0.481ms semisort=  1.860ms (keyed= 0.392ms group_by=  0.070ms per_group= 0.628ms)
[pe] round=  6 work=    99848 frontier=   199696 next=    65536 consolidate=  2.175ms frontier=  0.406ms semisort=  2.969ms (keyed= 0.061ms group_by=  1.347ms per_group= 0.802ms)
[pe] round=  7 work=    65536 frontier=   131072 next=    32768 consolidate=  1.567ms frontier=  0.332ms semisort=  1.761ms (keyed= 0.035ms group_by=  0.862ms per_group= 0.410ms)
[pe] round=  8 work=    32768 frontier=    65536 next=    16384 consolidate=  1.022ms frontier=  0.243ms semisort=  1.029ms (keyed= 0.021ms group_by=  0.491ms per_group= 0.241ms)
[pe] round=  9 work=    16384 frontier=    32768 next=     8192 consolidate=  0.715ms frontier=  0.182ms semisort=  0.832ms (keyed= 0.021ms group_by=  0.397ms per_group= 0.220ms)
[pe] round= 10 work=     8192 frontier=    16384 next=     4096 consolidate=  0.927ms frontier=  0.206ms semisort=  0.556ms (keyed= 0.018ms group_by=  0.243ms per_group= 0.126ms)
[pe] round= 11 work=     4096 frontier=     8192 next=     2048 consolidate=  0.644ms frontier=  0.110ms semisort=  0.674ms (keyed= 0.018ms group_by=  0.439ms per_group= 0.105ms)
[pe] round= 12 work=     2048 frontier=     4096 next=     1024 consolidate=  0.333ms frontier=  0.073ms semisort=  0.308ms (keyed= 0.013ms group_by=  0.154ms per_group= 0.051ms)
[pe] round= 13 work=     1024 frontier=     2048 next=      512 consolidate=  0.188ms frontier=  0.060ms semisort=  0.188ms (keyed= 0.007ms group_by=  0.079ms per_group= 0.037ms)
[pe] round= 14 work=      512 frontier=     1024 next=      256 consolidate=  0.097ms frontier=  0.032ms semisort=  0.120ms (keyed= 0.003ms group_by=  0.036ms per_group= 0.027ms)
[pe] round= 15 work=      256 frontier=      512 next=      128 consolidate=  0.062ms frontier=  0.018ms semisort=  0.080ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.026ms)
[pe] round= 16 work=      128 frontier=      256 next=       64 consolidate=  0.038ms frontier=  0.007ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.020ms)
[pe] round= 17 work=       64 frontier=      128 next=       32 consolidate=  0.033ms frontier=  0.005ms semisort=  0.030ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 18 work=       32 frontier=       64 next=       16 consolidate=  0.019ms frontier=  0.003ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 19 work=       16 frontier=       32 next=        8 consolidate=  0.015ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 20 work=        8 frontier=       16 next=        4 consolidate=  0.008ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 21 work=        4 frontier=        8 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
