[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.053s parse=0.051s build=0.149s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=190.933ms frontier= 28.147ms semisort= 58.764ms (keyed= 9.786ms group_by=  1.604ms per_group= 6.402ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  5.574ms frontier=  2.575ms semisort=  7.477ms (keyed= 1.517ms group_by=  0.212ms per_group= 1.245ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  1.270ms frontier=  0.260ms semisort=  3.511ms (keyed= 0.378ms group_by=  1.489ms per_group= 0.602ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  1.177ms frontier=  0.152ms semisort=  2.057ms (keyed= 0.158ms group_by=  0.715ms per_group= 0.438ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.544ms frontier=  0.216ms semisort=  0.941ms (keyed= 0.014ms group_by=  0.290ms per_group= 0.225ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.799ms frontier=  0.112ms semisort=  0.481ms (keyed= 0.011ms group_by=  0.101ms per_group= 0.148ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.389ms frontier=  0.072ms semisort=  0.691ms (keyed= 0.011ms group_by=  0.416ms per_group= 0.127ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.275ms frontier=  0.060ms semisort=  0.382ms (keyed= 0.013ms group_by=  0.191ms per_group= 0.085ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.108ms frontier=  0.032ms semisort=  0.372ms (keyed= 0.006ms group_by=  0.158ms per_group= 0.091ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.096ms frontier=  0.021ms semisort=  0.186ms (keyed= 0.006ms group_by=  0.069ms per_group= 0.033ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.098ms frontier=  0.013ms semisort=  0.161ms (keyed= 0.002ms group_by=  0.034ms per_group= 0.046ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.058ms frontier=  0.006ms semisort=  0.120ms (keyed= 0.001ms group_by=  0.022ms per_group= 0.037ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.027ms frontier=  0.006ms semisort=  0.086ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.026ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.060ms frontier=  0.005ms semisort=  0.083ms (keyed= 0.002ms group_by=  0.019ms per_group= 0.037ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.066ms frontier=  0.005ms semisort=  0.060ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.022ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.036ms frontier=  0.005ms semisort=  0.064ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.026ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.033ms frontier=  0.003ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.013ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.025ms frontier=  0.004ms semisort=  0.092ms (keyed= 0.002ms group_by=  0.019ms per_group= 0.035ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.060ms frontier=  0.007ms semisort=  0.100ms (keyed= 0.003ms group_by=  0.036ms per_group= 0.027ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.060ms frontier=  0.005ms semisort=  0.069ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.023ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.026ms frontier=  0.003ms semisort=  0.041ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.028ms frontier=  0.003ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.016ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.031ms frontier=  0.002ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.012ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.016ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.011ms)
