[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.049s parse=0.039s build=0.154s
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=117.814ms frontier= 17.918ms semisort= 33.523ms (keyed= 7.513ms group_by=  0.873ms per_group= 3.371ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  1.017ms frontier=  0.215ms semisort=  2.903ms (keyed= 0.045ms group_by=  1.658ms per_group= 0.471ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.961ms frontier=  0.176ms semisort=  2.407ms (keyed= 0.024ms group_by=  1.469ms per_group= 0.363ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.677ms frontier=  0.145ms semisort=  1.309ms (keyed= 0.035ms group_by=  0.535ms per_group= 0.330ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.085ms frontier=  0.152ms semisort=  0.593ms (keyed= 0.021ms group_by=  0.226ms per_group= 0.134ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.605ms frontier=  0.097ms semisort=  0.761ms (keyed= 0.012ms group_by=  0.559ms per_group= 0.082ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.247ms frontier=  0.063ms semisort=  0.404ms (keyed= 0.011ms group_by=  0.182ms per_group= 0.113ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.101ms frontier=  0.022ms semisort=  0.201ms (keyed= 0.004ms group_by=  0.068ms per_group= 0.037ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.077ms frontier=  0.012ms semisort=  0.118ms (keyed= 0.002ms group_by=  0.041ms per_group= 0.032ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.049ms frontier=  0.009ms semisort=  0.098ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.035ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.075ms frontier=  0.007ms semisort=  0.091ms (keyed= 0.002ms group_by=  0.019ms per_group= 0.045ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.032ms frontier=  0.007ms semisort=  0.052ms (keyed= 0.002ms group_by=  0.013ms per_group= 0.016ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.045ms frontier=  0.006ms semisort=  0.065ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.026ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.033ms frontier=  0.004ms semisort=  0.066ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.022ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.029ms frontier=  0.004ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.010ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.022ms frontier=  0.002ms semisort=  0.027ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.012ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.018ms frontier=  0.001ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.015ms frontier=  0.002ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.018ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.035ms frontier=  0.003ms semisort=  0.045ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.017ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.039ms frontier=  0.004ms semisort=  0.045ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.019ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.020ms frontier=  0.003ms semisort=  0.027ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.013ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.021ms frontier=  0.004ms semisort=  0.056ms (keyed= 0.002ms group_by=  0.014ms per_group= 0.017ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.014ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.008ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=116.215ms frontier= 14.923ms semisort= 31.860ms (keyed= 6.006ms group_by=  0.865ms per_group= 3.158ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.959ms frontier=  0.191ms semisort=  2.378ms (keyed= 0.044ms group_by=  1.133ms per_group= 0.495ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.940ms frontier=  0.158ms semisort=  2.275ms (keyed= 0.024ms group_by=  1.336ms per_group= 0.363ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.677ms frontier=  0.157ms semisort=  1.284ms (keyed= 0.027ms group_by=  0.624ms per_group= 0.252ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.160ms frontier=  0.156ms semisort=  0.562ms (keyed= 0.021ms group_by=  0.176ms per_group= 0.143ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.550ms frontier=  0.114ms semisort=  0.883ms (keyed= 0.016ms group_by=  0.596ms per_group= 0.136ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.261ms frontier=  0.050ms semisort=  0.399ms (keyed= 0.012ms group_by=  0.195ms per_group= 0.090ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.101ms frontier=  0.027ms semisort=  0.183ms (keyed= 0.004ms group_by=  0.071ms per_group= 0.045ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.064ms frontier=  0.013ms semisort=  0.122ms (keyed= 0.002ms group_by=  0.039ms per_group= 0.027ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.058ms frontier=  0.009ms semisort=  0.096ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.036ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.065ms frontier=  0.006ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.044ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.034ms frontier=  0.007ms semisort=  0.056ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.018ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.040ms frontier=  0.006ms semisort=  0.064ms (keyed= 0.002ms group_by=  0.014ms per_group= 0.023ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.030ms frontier=  0.005ms semisort=  0.055ms (keyed= 0.002ms group_by=  0.013ms per_group= 0.019ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.035ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.019ms frontier=  0.002ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
