[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.078s parse=0.115s build=0.321s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 92.105ms frontier= 16.088ms semisort= 33.783ms (keyed=18.677ms group_by=  1.010ms per_group= 2.327ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.798ms frontier=  0.339ms semisort=  3.542ms (keyed= 0.095ms group_by=  1.825ms per_group= 0.434ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.669ms frontier=  0.260ms semisort=  2.599ms (keyed= 0.089ms group_by=  1.874ms per_group= 0.232ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.296ms frontier=  0.071ms semisort=  0.798ms (keyed= 0.045ms group_by=  0.383ms per_group= 0.204ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.214ms frontier=  0.066ms semisort=  0.551ms (keyed= 0.027ms group_by=  0.213ms per_group= 0.144ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.382ms frontier=  0.098ms semisort=  0.750ms (keyed= 0.025ms group_by=  0.420ms per_group= 0.172ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.337ms frontier=  0.083ms semisort=  0.362ms (keyed= 0.028ms group_by=  0.163ms per_group= 0.094ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.067ms frontier=  0.010ms semisort=  0.182ms (keyed= 0.002ms group_by=  0.043ms per_group= 0.066ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.063ms frontier=  0.008ms semisort=  0.165ms (keyed= 0.005ms group_by=  0.057ms per_group= 0.039ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.045ms frontier=  0.006ms semisort=  0.124ms (keyed= 0.003ms group_by=  0.034ms per_group= 0.043ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.017ms frontier=  0.003ms semisort=  0.039ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.016ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.027ms frontier=  0.003ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.021ms frontier=  0.002ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.011ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.022ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.019ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
