file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,0,1,0.204880,0.168388,0.319766,375.3934
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,1,1,0.204880,0.168388,0.319766,373.9935
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,2,1,0.204880,0.168388,0.319766,373.5920
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,3,1,0.204880,0.168388,0.319766,372.6998
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,4,1,0.204880,0.168388,0.319766,375.0462
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_parents,0,1,0.204880,0.168388,0.319766,1589.1694
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_parents,1,1,0.204880,0.168388,0.319766,1695.0487
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_parents,2,1,0.204880,0.168388,0.319766,1715.9246
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_parents,3,1,0.204880,0.168388,0.319766,1747.2132
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_parents,4,1,0.204880,0.168388,0.319766,1754.0485
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_filter,0,1,0.204880,0.168388,0.319766,351.8380
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_filter,1,1,0.204880,0.168388,0.319766,350.9251
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_filter,2,1,0.204880,0.168388,0.319766,348.5350
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_filter,3,1,0.204880,0.168388,0.319766,350.3198
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_filter,4,1,0.204880,0.168388,0.319766,350.0923
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,0,1,0.139103,0.106647,0.205450,235.2386
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,1,1,0.139103,0.106647,0.205450,228.7393
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,2,1,0.139103,0.106647,0.205450,227.8858
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,3,1,0.139103,0.106647,0.205450,225.9898
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,4,1,0.139103,0.106647,0.205450,225.7643
