[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.055s parse=0.250s build=0.527s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=1440.177ms frontier=167.328ms semisort=513.326ms (keyed=68.619ms group_by= 10.949ms per_group=160.621ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate= 31.643ms frontier=  8.157ms semisort= 50.515ms (keyed= 7.448ms group_by=  0.880ms per_group=13.841ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  7.276ms frontier=  0.438ms semisort= 20.323ms (keyed= 0.475ms group_by= 10.497ms per_group= 3.585ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  6.412ms frontier=  0.445ms semisort= 10.976ms (keyed= 0.209ms group_by=  4.932ms per_group= 2.362ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  4.730ms frontier=  0.333ms semisort=  4.452ms (keyed= 0.060ms group_by=  1.831ms per_group= 1.121ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  2.287ms frontier=  0.209ms semisort=  2.271ms (keyed= 0.032ms group_by=  0.881ms per_group= 0.640ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  1.259ms frontier=  0.075ms semisort=  1.452ms (keyed= 0.018ms group_by=  0.698ms per_group= 0.328ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.684ms frontier=  0.042ms semisort=  0.855ms (keyed= 0.013ms group_by=  0.348ms per_group= 0.195ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.359ms frontier=  0.032ms semisort=  0.533ms (keyed= 0.005ms group_by=  0.247ms per_group= 0.139ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.235ms frontier=  0.019ms semisort=  0.367ms (keyed= 0.004ms group_by=  0.143ms per_group= 0.097ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.182ms frontier=  0.014ms semisort=  0.227ms (keyed= 0.002ms group_by=  0.050ms per_group= 0.104ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.147ms frontier=  0.006ms semisort=  0.103ms (keyed= 0.001ms group_by=  0.026ms per_group= 0.033ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.058ms frontier=  0.005ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.024ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.128ms frontier=  0.005ms semisort=  0.092ms (keyed= 0.001ms group_by=  0.024ms per_group= 0.027ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.123ms frontier=  0.006ms semisort=  0.129ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.086ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.061ms frontier=  0.003ms semisort=  0.058ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.019ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.052ms frontier=  0.003ms semisort=  0.068ms (keyed= 0.001ms group_by=  0.024ms per_group= 0.023ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.047ms frontier=  0.002ms semisort=  0.107ms (keyed= 0.001ms group_by=  0.031ms per_group= 0.039ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.087ms frontier=  0.006ms semisort=  0.207ms (keyed= 0.002ms group_by=  0.039ms per_group= 0.099ms)
[pe] round= 19 work=       86 frontier=      674 next=       34 consolidate=  0.069ms frontier=  0.005ms semisort=  0.073ms (keyed= 0.001ms group_by=  0.023ms per_group= 0.016ms)
[pe] round= 20 work=       34 frontier=      184 next=       31 consolidate=  0.035ms frontier=  0.002ms semisort=  0.034ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.011ms)
[pe] round= 21 work=       31 frontier=      202 next=       27 consolidate=  0.031ms frontier=  0.002ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.013ms)
[pe] round= 22 work=       27 frontier=      161 next=       25 consolidate=  0.027ms frontier=  0.002ms semisort=  0.030ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.009ms)
[pe] round= 23 work=       25 frontier=      155 next=       25 consolidate=  0.024ms frontier=  0.002ms semisort=  0.097ms (keyed= 0.001ms group_by=  0.011ms per_group= 0.012ms)
[pe] round= 24 work=       25 frontier=      150 next=       25 consolidate=  0.025ms frontier=  0.002ms semisort=  0.027ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.009ms)
[pe] round= 25 work=       25 frontier=      182 next=       25 consolidate=  0.025ms frontier=  0.001ms semisort=  0.032ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.009ms)
[pe] round= 26 work=       25 frontier=      152 next=       23 consolidate=  0.026ms frontier=  0.002ms semisort=  0.028ms (keyed= 0.000ms group_by=  0.007ms per_group= 0.009ms)
[pe] round= 27 work=       23 frontier=      139 next=       21 consolidate=  0.023ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.009ms)
[pe] round= 28 work=       21 frontier=      127 next=       21 consolidate=  0.021ms frontier=  0.001ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.008ms)
[pe] round= 29 work=       21 frontier=      126 next=       16 consolidate=  0.085ms frontier=  0.002ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.007ms)
[pe] round= 30 work=       16 frontier=       86 next=       14 consolidate=  0.016ms frontier=  0.001ms semisort=  0.081ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.070ms)
[pe] round= 31 work=       14 frontier=       85 next=       14 consolidate=  0.015ms frontier=  0.001ms semisort=  0.018ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.006ms)
[pe] round= 32 work=       14 frontier=       77 next=       14 consolidate=  0.015ms frontier=  0.001ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 33 work=       14 frontier=      106 next=       12 consolidate=  0.016ms frontier=  0.001ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.005ms)
[pe] round= 34 work=       12 frontier=       67 next=       10 consolidate=  0.075ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.004ms)
[pe] round= 35 work=       10 frontier=       54 next=        6 consolidate=  0.011ms frontier=  0.001ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 36 work=        6 frontier=       23 next=        4 consolidate=  0.007ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 37 work=        4 frontier=       41 next=        4 consolidate=  0.005ms frontier=  0.001ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 38 work=        4 frontier=       24 next=        5 consolidate=  0.005ms frontier=  0.001ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 39 work=        5 frontier=       13 next=        3 consolidate=  0.006ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 40 work=        3 frontier=        4 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 41 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 42 work=        2 frontier=        8 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 43 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 44 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 45 work=        2 frontier=       26 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 46 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 47 work=        2 frontier=        8 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 48 work=        2 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 49 work=        2 frontier=       20 next=        2 consolidate=  0.003ms frontier=  0.000ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 50 work=        2 frontier=        4 next=        2 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 51 work=        2 (tail-skip: all parents empty)
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=1439.804ms frontier=159.298ms semisort=512.091ms (keyed=68.350ms group_by= 10.695ms per_group=160.357ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate= 31.638ms frontier=  6.724ms semisort= 49.651ms (keyed= 7.435ms group_by=  0.839ms per_group=13.315ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  7.276ms frontier=  0.506ms semisort= 19.931ms (keyed= 0.246ms group_by= 10.597ms per_group= 3.678ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  6.329ms frontier=  0.464ms semisort= 11.118ms (keyed= 0.209ms group_by=  5.048ms per_group= 2.506ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  4.966ms frontier=  0.271ms semisort=  4.364ms (keyed= 0.060ms group_by=  1.821ms per_group= 1.075ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  2.294ms frontier=  0.148ms semisort=  2.386ms (keyed= 0.034ms group_by=  0.899ms per_group= 0.683ms)
