[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.052s parse=0.056s build=0.185s
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 94.520ms frontier= 18.774ms semisort= 32.276ms (keyed= 5.434ms group_by=  0.663ms per_group=10.311ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.863ms frontier=  0.227ms semisort=  4.563ms (keyed= 0.056ms group_by=  3.408ms per_group= 0.437ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.810ms frontier=  0.210ms semisort=  3.695ms (keyed= 0.024ms group_by=  2.816ms per_group= 0.356ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.600ms frontier=  0.210ms semisort=  2.113ms (keyed= 0.033ms group_by=  1.441ms per_group= 0.250ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.031ms frontier=  0.214ms semisort=  0.944ms (keyed= 0.035ms group_by=  0.501ms per_group= 0.178ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.538ms frontier=  0.121ms semisort=  1.600ms (keyed= 0.016ms group_by=  1.323ms per_group= 0.122ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.267ms frontier=  0.070ms semisort=  0.740ms (keyed= 0.016ms group_by=  0.538ms per_group= 0.086ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.151ms frontier=  0.046ms semisort=  0.300ms (keyed= 0.005ms group_by=  0.180ms per_group= 0.049ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.081ms frontier=  0.025ms semisort=  0.189ms (keyed= 0.003ms group_by=  0.093ms per_group= 0.038ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.064ms frontier=  0.011ms semisort=  0.158ms (keyed= 0.002ms group_by=  0.069ms per_group= 0.035ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.050ms frontier=  0.011ms semisort=  0.122ms (keyed= 0.002ms group_by=  0.053ms per_group= 0.027ms)
