[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 80.672ms frontier= 16.715ms semisort= 30.535ms (keyed=17.036ms group_by=  0.446ms per_group= 5.540ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.893ms frontier=  0.278ms semisort=  4.523ms (keyed= 0.070ms group_by=  3.561ms per_group= 0.452ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.774ms frontier=  0.234ms semisort=  3.263ms (keyed= 0.040ms group_by=  2.593ms per_group= 0.313ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.505ms frontier=  0.255ms semisort=  1.975ms (keyed= 0.044ms group_by=  1.407ms per_group= 0.224ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  0.870ms frontier=  0.209ms semisort=  0.877ms (keyed= 0.031ms group_by=  0.476ms per_group= 0.186ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.431ms frontier=  0.132ms semisort=  1.358ms (keyed= 0.023ms group_by=  1.048ms per_group= 0.133ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.251ms frontier=  0.075ms semisort=  0.704ms (keyed= 0.024ms group_by=  0.465ms per_group= 0.094ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.151ms frontier=  0.037ms semisort=  0.279ms (keyed= 0.003ms group_by=  0.135ms per_group= 0.049ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.118ms frontier=  0.016ms semisort=  0.180ms (keyed= 0.002ms group_by=  0.068ms per_group= 0.042ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.063ms frontier=  0.011ms semisort=  0.137ms (keyed= 0.001ms group_by=  0.048ms per_group= 0.036ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.047ms frontier=  0.009ms semisort=  0.105ms (keyed= 0.001ms group_by=  0.031ms per_group= 0.031ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.071ms frontier=  0.008ms semisort=  0.113ms (keyed= 0.002ms group_by=  0.030ms per_group= 0.043ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.060ms frontier=  0.007ms semisort=  0.112ms (keyed= 0.002ms group_by=  0.028ms per_group= 0.038ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.052ms frontier=  0.006ms semisort=  0.103ms (keyed= 0.001ms group_by=  0.036ms per_group= 0.029ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.044ms frontier=  0.005ms semisort=  0.060ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.016ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.044ms frontier=  0.004ms semisort=  0.033ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.020ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.030ms frontier=  0.003ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.021ms frontier=  0.002ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.028ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.042ms frontier=  0.005ms semisort=  0.085ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.034ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.044ms frontier=  0.010ms semisort=  0.053ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.024ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.030ms frontier=  0.004ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.011ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.028ms frontier=  0.004ms semisort=  0.096ms (keyed= 0.001ms group_by=  0.035ms per_group= 0.028ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.032ms frontier=  0.003ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.005ms)
